date,tether,ripple,isPartial
2022-01-01 00:00:00,8,70,False
2022-01-01 01:00:00,18,46,False
2022-01-01 02:00:00,18,47,False
2022-01-01 03:00:00,19,54,False
2022-01-01 04:00:00,24,34,False
2022-01-01 05:00:00,39,45,False
2022-01-01 06:00:00,25,61,False
2022-01-01 07:00:00,24,50,False
2022-01-01 08:00:00,23,38,False
2022-01-01 09:00:00,18,59,False
2022-01-01 10:00:00,33,55,False
2022-01-01 11:00:00,24,41,False
2022-01-01 12:00:00,18,51,False
2022-01-01 13:00:00,27,31,False
2022-01-01 14:00:00,25,49,False
2022-01-01 15:00:00,27,43,False
2022-01-01 16:00:00,21,46,False
2022-01-01 17:00:00,12,46,False
2022-01-01 18:00:00,28,84,False
2022-01-01 19:00:00,49,60,False
2022-01-01 20:00:00,24,67,False
2022-01-01 21:00:00,33,64,False
2022-01-01 22:00:00,24,81,False
2022-01-01 23:00:00,21,90,False
2022-01-02 00:00:00,30,81,False
2022-01-02 01:00:00,22,55,False
2022-01-02 02:00:00,14,37,False
2022-01-02 03:00:00,19,72,False
2022-01-02 04:00:00,29,93,False
2022-01-02 05:00:00,19,70,False
2022-01-02 06:00:00,5,61,False
2022-01-02 07:00:00,23,38,False
2022-01-02 08:00:00,13,48,False
2022-01-02 09:00:00,8,73,False
2022-01-02 10:00:00,4,38,False
2022-01-02 11:00:00,17,52,False
2022-01-02 12:00:00,26,36,False
2022-01-02 13:00:00,19,42,False
2022-01-02 14:00:00,14,50,False
2022-01-02 15:00:00,20,63,False
2022-01-02 16:00:00,17,46,False
2022-01-02 17:00:00,25,77,False
2022-01-02 18:00:00,18,64,False
2022-01-02 19:00:00,25,57,False
2022-01-02 20:00:00,29,59,False
2022-01-02 21:00:00,10,42,False
2022-01-02 22:00:00,18,76,False
2022-01-02 23:00:00,36,75,False
2022-01-03 00:00:00,24,50,False
2022-01-03 01:00:00,33,42,False
2022-01-03 02:00:00,17,64,False
2022-01-03 03:00:00,21,57,False
2022-01-03 04:00:00,22,57,False
2022-01-03 05:00:00,26,63,False
2022-01-03 06:00:00,21,56,False
2022-01-03 07:00:00,19,35,False
2022-01-03 08:00:00,7,48,False
2022-01-03 09:00:00,30,35,False
2022-01-03 10:00:00,19,33,False
2022-01-03 11:00:00,27,60,False
2022-01-03 12:00:00,14,62,False
2022-01-03 13:00:00,21,52,False
2022-01-03 14:00:00,25,55,False
2022-01-03 15:00:00,32,39,False
2022-01-03 16:00:00,17,55,False
2022-01-03 17:00:00,23,85,False
2022-01-03 18:00:00,19,75,False
2022-01-03 19:00:00,17,85,False
2022-01-03 20:00:00,24,35,False
2022-01-03 21:00:00,17,60,False
2022-01-03 22:00:00,36,54,False
2022-01-03 23:00:00,23,71,False
2022-01-04 00:00:00,12,60,False
2022-01-04 01:00:00,20,50,False
2022-01-04 02:00:00,16,55,False
2022-01-04 03:00:00,21,66,False
2022-01-04 04:00:00,30,63,False
2022-01-04 05:00:00,22,56,False
2022-01-04 06:00:00,16,57,False
2022-01-04 07:00:00,26,40,False
2022-01-04 08:00:00,24,55,False
2022-01-04 09:00:00,17,32,False
2022-01-04 10:00:00,19,27,False
2022-01-04 11:00:00,15,25,False
2022-01-04 12:00:00,22,52,False
2022-01-04 13:00:00,23,41,False
2022-01-04 14:00:00,25,62,False
2022-01-04 15:00:00,22,57,False
2022-01-04 16:00:00,35,55,False
2022-01-04 17:00:00,24,60,False
2022-01-04 18:00:00,25,37,False
2022-01-04 19:00:00,21,65,False
2022-01-04 20:00:00,15,72,False
2022-01-04 21:00:00,30,70,False
2022-01-04 22:00:00,15,50,False
2022-01-04 23:00:00,8,46,False
2022-01-05 00:00:00,16,73,False
2022-01-05 01:00:00,16,59,False
2022-01-05 02:00:00,28,34,False
2022-01-05 03:00:00,21,56,False
2022-01-05 04:00:00,13,54,False
2022-01-05 05:00:00,22,41,False
2022-01-05 06:00:00,4,61,False
2022-01-05 07:00:00,8,52,False
2022-01-05 08:00:00,3,44,False
2022-01-05 09:00:00,27,56,False
2022-01-05 10:00:00,22,34,False
2022-01-05 11:00:00,31,55,False
2022-01-05 12:00:00,19,57,False
2022-01-05 13:00:00,8,30,False
2022-01-05 14:00:00,20,39,False
2022-01-05 15:00:00,22,54,False
2022-01-05 16:00:00,20,63,False
2022-01-05 17:00:00,15,43,False
2022-01-05 18:00:00,35,51,False
2022-01-05 19:00:00,17,48,False
2022-01-05 20:00:00,27,63,False
2022-01-05 21:00:00,45,54,False
2022-01-05 22:00:00,25,92,False
2022-01-05 23:00:00,8,61,False
2022-01-06 00:00:00,24,59,False
2022-01-06 01:00:00,28,41,False
2022-01-06 02:00:00,20,63,False
2022-01-06 03:00:00,29,52,False
2022-01-06 04:00:00,22,36,False
2022-01-06 05:00:00,22,51,False
2022-01-06 06:00:00,29,39,False
2022-01-06 07:00:00,8,45,False
2022-01-06 08:00:00,21,100,False
2022-01-06 09:00:00,17,56,False
2022-01-06 10:00:00,33,38,False
2022-01-06 11:00:00,25,71,False
2022-01-06 12:00:00,14,38,False
2022-01-06 13:00:00,13,70,False
2022-01-06 14:00:00,15,68,False
2022-01-06 15:00:00,20,50,False
2022-01-06 16:00:00,20,55,False
2022-01-06 17:00:00,26,66,False
2022-01-06 18:00:00,38,60,False
2022-01-06 19:00:00,23,54,False
2022-01-06 20:00:00,27,54,False
2022-01-06 21:00:00,30,59,False
2022-01-06 22:00:00,40,76,False
2022-01-06 23:00:00,32,50,False
2022-01-07 00:00:00,24,88,False
2022-01-07 01:00:00,36,73,False
2022-01-07 02:00:00,4,17,False
2022-01-07 03:00:00,21,47,False
2022-01-07 04:00:00,18,49,False
2022-01-07 05:00:00,26,53,False
2022-01-07 06:00:00,17,52,False
2022-01-07 07:00:00,12,55,False
2022-01-07 08:00:00,19,34,False
2022-01-07 09:00:00,14,35,False
2022-01-07 10:00:00,16,70,False
2022-01-07 11:00:00,16,47,False
2022-01-07 12:00:00,17,35,False
2022-01-07 13:00:00,19,55,False
2022-01-07 14:00:00,23,59,False
2022-01-07 15:00:00,25,62,False
2022-01-07 16:00:00,36,44,False
2022-01-07 17:00:00,13,43,False
2022-01-07 18:00:00,39,62,False
2022-01-07 19:00:00,23,47,False
2022-01-07 20:00:00,28,64,False
2022-01-07 21:00:00,27,87,False
2022-01-07 22:00:00,11,82,False
2022-01-07 23:00:00,24,74,False
2022-01-08 00:00:00,42,72,False
2022-01-08 00:00:00,38,65,False
2022-01-08 01:00:00,26,54,False
2022-01-08 02:00:00,34,47,False
2022-01-08 03:00:00,8,100,False
2022-01-08 04:00:00,40,58,False
2022-01-08 05:00:00,8,38,False
2022-01-08 06:00:00,20,50,False
2022-01-08 07:00:00,12,36,False
2022-01-08 08:00:00,25,48,False
2022-01-08 09:00:00,10,35,False
2022-01-08 10:00:00,16,37,False
2022-01-08 11:00:00,22,38,False
2022-01-08 12:00:00,26,53,False
2022-01-08 13:00:00,5,52,False
2022-01-08 14:00:00,23,36,False
2022-01-08 15:00:00,25,46,False
2022-01-08 16:00:00,7,46,False
2022-01-08 17:00:00,10,54,False
2022-01-08 18:00:00,23,53,False
2022-01-08 19:00:00,22,46,False
2022-01-08 20:00:00,12,57,False
2022-01-08 21:00:00,35,65,False
2022-01-08 22:00:00,20,63,False
2022-01-08 23:00:00,29,41,False
2022-01-09 00:00:00,19,50,False
2022-01-09 01:00:00,23,47,False
2022-01-09 02:00:00,8,64,False
2022-01-09 03:00:00,28,61,False
2022-01-09 04:00:00,32,50,False
2022-01-09 05:00:00,26,61,False
2022-01-09 06:00:00,21,26,False
2022-01-09 07:00:00,28,25,False
2022-01-09 08:00:00,7,38,False
2022-01-09 09:00:00,24,42,False
2022-01-09 10:00:00,23,34,False
2022-01-09 11:00:00,16,23,False
2022-01-09 12:00:00,9,36,False
2022-01-09 13:00:00,24,58,False
2022-01-09 14:00:00,30,47,False
2022-01-09 15:00:00,29,45,False
2022-01-09 16:00:00,16,42,False
2022-01-09 17:00:00,22,50,False
2022-01-09 18:00:00,30,34,False
2022-01-09 19:00:00,29,55,False
2022-01-09 20:00:00,17,55,False
2022-01-09 21:00:00,6,77,False
2022-01-09 22:00:00,27,41,False
2022-01-09 23:00:00,22,75,False
2022-01-10 00:00:00,18,62,False
2022-01-10 01:00:00,17,45,False
2022-01-10 02:00:00,7,57,False
2022-01-10 03:00:00,25,62,False
2022-01-10 04:00:00,11,30,False
2022-01-10 05:00:00,15,41,False
2022-01-10 06:00:00,7,74,False
2022-01-10 07:00:00,22,16,False
2022-01-10 08:00:00,12,53,False
2022-01-10 09:00:00,14,56,False
2022-01-10 10:00:00,14,34,False
2022-01-10 11:00:00,15,26,False
2022-01-10 12:00:00,12,36,False
2022-01-10 13:00:00,20,50,False
2022-01-10 14:00:00,19,37,False
2022-01-10 15:00:00,19,41,False
2022-01-10 16:00:00,25,57,False
2022-01-10 17:00:00,13,30,False
2022-01-10 18:00:00,21,60,False
2022-01-10 19:00:00,27,68,False
2022-01-10 20:00:00,23,48,False
2022-01-10 21:00:00,26,74,False
2022-01-10 22:00:00,13,56,False
2022-01-10 23:00:00,7,47,False
2022-01-11 00:00:00,21,29,False
2022-01-11 01:00:00,7,43,False
2022-01-11 02:00:00,21,67,False
2022-01-11 03:00:00,29,73,False
2022-01-11 04:00:00,11,49,False
2022-01-11 05:00:00,18,53,False
2022-01-11 06:00:00,7,61,False
2022-01-11 07:00:00,10,53,False
2022-01-11 08:00:00,9,43,False
2022-01-11 09:00:00,40,38,False
2022-01-11 10:00:00,14,42,False
2022-01-11 11:00:00,15,40,False
2022-01-11 12:00:00,9,44,False
2022-01-11 13:00:00,9,40,False
2022-01-11 14:00:00,15,35,False
2022-01-11 15:00:00,10,49,False
2022-01-11 16:00:00,6,38,False
2022-01-11 17:00:00,20,36,False
2022-01-11 18:00:00,14,53,False
2022-01-11 19:00:00,24,39,False
2022-01-11 20:00:00,23,68,False
2022-01-11 21:00:00,20,38,False
2022-01-11 22:00:00,19,52,False
2022-01-11 23:00:00,24,78,False
2022-01-12 00:00:00,18,50,False
2022-01-12 01:00:00,21,50,False
2022-01-12 02:00:00,7,32,False
2022-01-12 03:00:00,11,51,False
2022-01-12 04:00:00,34,50,False
2022-01-12 05:00:00,15,63,False
2022-01-12 06:00:00,7,42,False
2022-01-12 07:00:00,32,26,False
2022-01-12 08:00:00,27,27,False
2022-01-12 09:00:00,11,52,False
2022-01-12 10:00:00,20,43,False
2022-01-12 11:00:00,5,53,False
2022-01-12 12:00:00,34,27,False
2022-01-12 13:00:00,33,38,False
2022-01-12 14:00:00,42,72,False
2022-01-12 15:00:00,21,33,False
2022-01-12 16:00:00,34,62,False
2022-01-12 17:00:00,28,56,False
2022-01-12 18:00:00,25,45,False
2022-01-12 19:00:00,24,39,False
2022-01-12 20:00:00,31,59,False
2022-01-12 21:00:00,38,68,False
2022-01-12 22:00:00,37,30,False
