,date,bitcoin,ethereum,tether,ripple,solana,terra-luna,cardano,avalanche,stellar,monero
0,2022-01-01 00:00:00,44,13,8,70,49,0,33,47,45,0
1,2022-01-01 01:00:00,40,10,18,46,52,0,22,22,5,14
2,2022-01-01 02:00:00,35,9,18,47,55,0,12,27,39,10
3,2022-01-01 03:00:00,41,10,19,54,22,0,13,27,31,0
4,2022-01-01 04:00:00,37,11,24,34,45,0,16,28,46,0
5,2022-01-01 05:00:00,35,10,39,45,46,0,11,19,26,16
6,2022-01-01 06:00:00,34,8,25,61,55,0,16,13,37,21
7,2022-01-01 07:00:00,36,10,24,50,32,0,23,7,26,0
8,2022-01-01 08:00:00,38,11,23,38,41,0,13,15,45,0
9,2022-01-01 09:00:00,43,10,18,59,56,0,17,7,33,19
10,2022-01-01 10:00:00,43,10,33,55,53,0,20,5,27,0
11,2022-01-01 11:00:00,39,10,24,41,26,0,12,10,34,17
12,2022-01-01 12:00:00,34,8,18,51,30,0,19,21,50,11
13,2022-01-01 13:00:00,40,10,27,31,49,0,12,13,29,14
14,2022-01-01 14:00:00,41,11,25,49,37,0,17,17,44,7
15,2022-01-01 15:00:00,41,11,27,43,43,0,25,12,48,16
16,2022-01-01 16:00:00,41,9,21,46,58,0,22,21,57,13
17,2022-01-01 17:00:00,42,14,12,46,53,0,19,22,45,13
18,2022-01-01 18:00:00,44,14,28,84,47,0,27,26,34,7
19,2022-01-01 19:00:00,47,12,49,60,68,0,27,16,38,14
20,2022-01-01 20:00:00,44,14,24,67,70,0,24,26,51,18
21,2022-01-01 21:00:00,47,12,33,64,61,0,24,34,59,27
22,2022-01-01 22:00:00,50,14,24,81,68,0,30,37,55,17
23,2022-01-01 23:00:00,42,11,21,90,63,0,33,38,49,9
24,2022-01-02 00:00:00,46,13,30,81,50,0,44,33,28,9
25,2022-01-02 01:00:00,41,11,22,55,40,0,29,43,38,19
26,2022-01-02 02:00:00,37,13,14,37,50,0,29,34,20,15
27,2022-01-02 03:00:00,43,9,19,72,49,0,12,25,50,15
28,2022-01-02 04:00:00,43,10,29,93,40,0,13,38,36,10
29,2022-01-02 05:00:00,35,12,19,70,38,0,20,29,47,26
30,2022-01-02 06:00:00,37,11,5,61,22,0,9,23,32,16
31,2022-01-02 07:00:00,37,12,23,38,41,0,22,16,40,5
32,2022-01-02 08:00:00,35,9,13,48,40,0,25,18,32,5
33,2022-01-02 09:00:00,39,10,8,73,50,0,15,11,34,21
34,2022-01-02 10:00:00,39,11,4,38,47,0,18,10,28,8
35,2022-01-02 11:00:00,37,9,17,52,41,0,19,15,36,14
36,2022-01-02 12:00:00,40,9,26,36,30,0,25,11,45,14
37,2022-01-02 13:00:00,43,11,19,42,58,0,16,23,61,10
38,2022-01-02 14:00:00,42,12,14,50,48,0,32,24,31,15
39,2022-01-02 15:00:00,40,9,20,63,36,0,20,21,33,15
40,2022-01-02 16:00:00,44,12,17,46,58,0,18,25,42,12
41,2022-01-02 17:00:00,42,11,25,77,58,0,34,28,47,9
42,2022-01-02 18:00:00,44,12,18,64,57,0,28,33,54,13
43,2022-01-02 19:00:00,46,13,25,57,43,0,25,43,63,7
44,2022-01-02 20:00:00,43,12,29,59,58,0,22,47,68,7
45,2022-01-02 21:00:00,46,13,10,42,45,0,19,50,55,18
46,2022-01-02 22:00:00,40,14,18,76,65,0,36,47,43,8
47,2022-01-02 23:00:00,45,14,36,75,45,0,23,66,65,9
48,2022-01-03 00:00:00,47,14,24,50,38,0,24,46,52,13
49,2022-01-03 01:00:00,48,9,33,42,59,0,18,33,53,9
50,2022-01-03 02:00:00,38,14,17,64,53,0,22,48,31,18
51,2022-01-03 03:00:00,42,12,21,57,71,0,24,49,46,9
52,2022-01-03 04:00:00,41,11,22,57,48,0,15,23,55,5
53,2022-01-03 05:00:00,38,12,26,63,61,0,21,26,42,9
54,2022-01-03 06:00:00,35,11,21,56,51,0,17,17,31,4
55,2022-01-03 07:00:00,38,10,19,35,34,0,25,15,53,21
56,2022-01-03 08:00:00,41,11,7,48,43,0,17,12,50,19
57,2022-01-03 09:00:00,36,9,30,35,51,0,21,9,47,22
58,2022-01-03 10:00:00,37,12,19,33,36,0,18,10,24,21
59,2022-01-03 11:00:00,39,10,27,60,47,0,25,14,52,3
60,2022-01-03 12:00:00,40,11,14,62,64,0,19,7,30,15
61,2022-01-03 13:00:00,40,9,21,52,44,0,15,15,30,8
62,2022-01-03 14:00:00,43,11,25,55,49,0,24,8,42,8
63,2022-01-03 15:00:00,40,12,32,39,41,0,26,18,39,10
64,2022-01-03 16:00:00,48,12,17,55,40,0,21,16,53,21
65,2022-01-03 17:00:00,47,12,23,85,57,0,21,20,52,11
66,2022-01-03 18:00:00,47,15,19,75,73,0,19,22,52,20
67,2022-01-03 19:00:00,49,12,17,85,57,0,19,34,52,12
68,2022-01-03 20:00:00,52,14,24,35,65,0,28,30,42,3
69,2022-01-03 21:00:00,54,15,17,60,65,0,26,27,50,7
70,2022-01-03 22:00:00,51,16,36,54,64,0,24,40,46,31
71,2022-01-03 23:00:00,47,14,23,71,65,0,29,35,58,21
72,2022-01-04 00:00:00,49,13,12,60,58,0,17,40,51,30
73,2022-01-04 01:00:00,44,11,20,50,65,0,33,33,51,0
74,2022-01-04 02:00:00,38,11,16,55,62,0,19,26,72,9
75,2022-01-04 03:00:00,37,11,21,66,47,0,26,28,44,4
76,2022-01-04 04:00:00,42,11,30,63,33,0,22,23,41,23
77,2022-01-04 05:00:00,42,11,22,56,53,0,19,26,28,14
78,2022-01-04 06:00:00,40,12,16,57,68,0,22,21,48,0
79,2022-01-04 07:00:00,37,9,26,40,62,0,20,11,48,0
80,2022-01-04 08:00:00,36,9,24,55,43,0,19,8,30,19
81,2022-01-04 09:00:00,43,11,17,32,39,0,18,10,28,7
82,2022-01-04 10:00:00,39,11,19,27,47,0,26,13,54,14
83,2022-01-04 11:00:00,38,10,15,25,40,0,15,10,22,29
84,2022-01-04 12:00:00,44,12,22,52,59,0,27,8,23,6
85,2022-01-04 13:00:00,44,13,23,41,50,0,22,10,65,8
86,2022-01-04 14:00:00,44,13,25,62,52,0,23,20,55,16
87,2022-01-04 15:00:00,42,13,22,57,59,0,24,23,57,13
88,2022-01-04 16:00:00,44,11,35,55,56,0,23,22,42,11
89,2022-01-04 17:00:00,44,13,24,60,52,0,20,28,55,8
90,2022-01-04 18:00:00,47,14,25,37,69,0,33,25,55,9
91,2022-01-04 19:00:00,49,12,21,65,60,0,27,29,25,6
92,2022-01-04 20:00:00,54,15,15,72,100,0,16,33,59,16
93,2022-01-04 21:00:00,48,15,30,70,56,0,33,30,39,18
94,2022-01-04 22:00:00,44,14,15,50,57,0,21,33,58,15
95,2022-01-04 23:00:00,47,13,8,46,80,0,25,42,51,13
96,2022-01-05 00:00:00,45,12,16,73,52,0,29,44,51,17
97,2022-01-05 01:00:00,41,11,16,59,54,0,34,77,38,21
98,2022-01-05 02:00:00,42,11,28,34,54,0,26,77,34,4
99,2022-01-05 03:00:00,39,10,21,56,71,0,20,88,44,0
100,2022-01-05 04:00:00,37,10,13,54,36,0,22,87,45,14
101,2022-01-05 05:00:00,40,12,22,41,63,0,21,41,46,23
102,2022-01-05 06:00:00,38,11,4,61,49,0,19,33,31,13
103,2022-01-05 07:00:00,36,10,8,52,53,0,20,15,28,24
104,2022-01-05 08:00:00,38,12,3,44,46,0,17,10,18,4
105,2022-01-05 09:00:00,38,9,27,56,47,0,23,17,60,14
106,2022-01-05 10:00:00,39,10,22,34,52,2,19,16,41,17
107,2022-01-05 11:00:00,39,10,31,55,58,0,31,12,35,16
108,2022-01-05 12:00:00,40,10,19,57,50,0,19,17,29,20
109,2022-01-05 13:00:00,38,10,8,30,49,0,24,15,41,16
110,2022-01-05 14:00:00,43,11,20,39,54,0,28,26,50,18
111,2022-01-05 15:00:00,44,9,22,54,57,0,25,21,72,5
112,2022-01-05 16:00:00,41,11,20,63,64,0,25,24,40,29
113,2022-01-05 17:00:00,41,12,15,43,52,0,28,39,38,11
114,2022-01-05 18:00:00,42,10,35,51,65,0,32,29,32,11
115,2022-01-05 19:00:00,50,12,17,48,70,0,30,30,39,9
116,2022-01-05 20:00:00,78,18,27,63,62,0,39,28,38,6
117,2022-01-05 21:00:00,85,22,45,54,89,0,43,27,61,24
118,2022-01-05 22:00:00,100,22,25,92,95,0,30,32,100,26
119,2022-01-05 23:00:00,76,19,8,61,100,0,31,37,70,16
120,2022-01-06 00:00:00,68,17,24,59,73,0,34,39,67,13
121,2022-01-06 01:00:00,58,16,28,41,55,0,19,45,37,17
122,2022-01-06 02:00:00,64,17,20,63,75,0,24,31,42,8
123,2022-01-06 03:00:00,63,17,29,52,91,0,28,34,48,9
124,2022-01-06 04:00:00,73,18,22,36,87,0,34,28,50,18
125,2022-01-06 05:00:00,71,18,22,51,62,0,23,28,42,5
126,2022-01-06 06:00:00,65,18,29,39,69,0,26,23,35,13
127,2022-01-06 07:00:00,62,16,8,45,82,0,29,16,33,16
128,2022-01-06 08:00:00,67,17,21,100,45,0,29,10,45,7
129,2022-01-06 09:00:00,63,19,17,56,45,0,22,10,35,7
130,2022-01-06 10:00:00,72,20,33,38,66,0,21,15,28,10
131,2022-01-06 11:00:00,65,17,25,71,48,0,19,8,52,13
132,2022-01-06 12:00:00,62,13,14,38,61,0,35,12,49,15
133,2022-01-06 13:00:00,63,18,13,70,63,0,23,15,52,5
134,2022-01-06 14:00:00,69,15,15,68,75,0,20,20,47,5
135,2022-01-06 15:00:00,71,16,20,50,69,0,27,27,55,10
136,2022-01-06 16:00:00,67,15,20,55,62,0,23,25,47,16
137,2022-01-06 17:00:00,73,16,26,66,61,0,30,33,49,14
138,2022-01-06 18:00:00,62,15,38,60,72,0,28,30,55,17
139,2022-01-06 19:00:00,68,16,23,54,73,0,28,27,27,9
140,2022-01-06 20:00:00,65,16,27,54,67,0,35,37,58,22
141,2022-01-06 21:00:00,72,19,30,59,83,0,43,35,56,14
142,2022-01-06 22:00:00,70,18,40,76,69,0,28,42,35,4
143,2022-01-06 23:00:00,68,17,32,50,77,0,35,41,38,17
144,2022-01-07 00:00:00,63,16,24,88,77,0,24,58,75,13
145,2022-01-07 01:00:00,56,13,36,73,81,0,22,67,47,9
146,2022-01-07 02:00:00,56,15,4,17,52,0,27,93,43,4
