date,bitcoin_market_caps,ethereum_market_caps,tether_market_caps,ripple_market_caps,solana_market_caps,terra-luna_market_caps,cardano_market_caps,avalanche-2_market_caps,stellar_market_caps,monero_market_caps
2018-01-01,236440337971.831,75056629369.4547,1380279517.44767,89492073293.9516,7827651.892659198,0.0,19371162465.4129,124357932.92103657,8872391247.5639,5552975744.35028
2018-01-02,257079617264.841,84822222588.5437,1373452749.16104,95115834951.3906,6173607.678345317,0.0,20934301068.7051,124357932.92103657,9900319283.886,5857333030.68151
2018-01-03,261505188675.85794,93178531120.43204,1389678294.62786,121087332439.71637,7269680.447445141,0.0,27882000207.037376,86335245.96938415,15652627385.902025,6150154381.8576565
2018-01-04,268124738814.99704,94681149308.52457,1472112403.15338,124741983364.58235,6302364.150584625,0.0,30577013247.750748,112209367.28386834,13499436133.208918,6459402578.341488
2018-01-05,307774011688.3515,97269228886.25314,1467642069.599715,113559154421.59886,5306221.06575891,0.0,27944745852.34255,115431881.83108865,12571972267.62542,6266159223.343635
2018-01-06,307926110569.5282,101852997666.87328,1480612643.30961,119767102383.33061,5114653.932636794,0.0,28358515684.962,111216735.78175373,13309191579.888086,6346762844.144361
2018-01-07,286074127681.1376,110167827718.61086,1470042396.48321,131653046805.28716,5505929.486978686,0.0,27297411640.984287,114464431.45007946,12990852323.607273,7253578949.931827
2018-01-08,266976271422.5615,114769005376.76157,1486176703.79184,94852796157.8795,5348323.975349362,0.0,24420705964.95028,102464370.65740834,11785294713.208023,6557019072.215625
2018-01-09,262044268423.30463,131894965357.881,1474241133.41703,82950581295.08722,5423066.285864263,0.0,22458068418.789967,101476428.14556378,11231940400.64805,8451244067.086767
2018-01-10,260474112841.84482,130387621608.28636,1471466443.6251,75779186818.30954,4844617.211182358,0.0,21167941691.567257,106075718.17811859,10452502972.449247,7094299201.729724
2018-01-11,236008991341.7291,114526940296.8931,1477133270.39592,74906393930.77771,4285479.154681022,0.0,18860951569.23562,101765148.94373225,10324812637.211674,5737171811.066069
2018-01-12,247945818276.33105,127538307119.98058,1473800706.46593,78476593332.23947,4591546.761226098,0.0,24950362576.850266,95235623.92130171,12788812208.321646,6412248647.628119
2018-01-13,255265724750.92688,140419500475.92773,1471481124.52347,78349916335.2475,5446538.173850838,0.0,24317185758.156223,98705092.3254942,12681637443.244696,7494631947.662809
2018-01-14,243252295974.26068,136747164703.8492,1493076726.02574,72272132219.62971,4909586.999036558,0.0,21827729140.9422,97280078.97841498,11781978756.028328,6499113557.709274
2018-01-15,242193794408.73285,128980953671.9811,1479012425.38728,64580475414.50566,5027193.620409137,0.0,21322528449.849503,97598132.46152855,11258532082.04455,6748752050.195373
2018-01-16,197043955228.79236,103677753320.31013,1667199879.47805,46299086530.56665,5173619.233465031,0.0,16547116341.812134,86535411.99838454,8155382854.371711,5078194588.095118
2018-01-17,191882616843.4473,99216267384.45854,1651892740.29247,50018431631.85076,5137791.330825961,0.0,16841373613.692904,84321271.96959245,8772427317.127226,5075861388.681995
2018-01-18,194496634731.3023,100567876886.70789,1653834449.28007,62432389945.63571,4616001.375155629,0.0,17406297666.39785,95666267.60295922,9237937098.13604,5168966052.055568
2018-01-19,197698672432.58115,101640355096.62448,1627071227.06765,59719100383.15327,5283691.351331575,0.0,17260984826.57194,104353473.9399411,9211415746.801579,6048085259.896657
2018-01-20,222978421656.46298,113899479853.58607,1623851226.32988,61287260884.14255,5897415.537215416,0.0,19030494009.787533,98544391.67879471,9867129742.12058,6552062942.045324
2018-01-21,196828374433.09152,102337202453.45827,1622945095.469,53509215790.54997,5635423.505964131,0.0,16308985081.69988,100492812.71403536,8434311748.665441,5672219919.912128
2018-01-22,184878210439.39847,97186332455.0951,1606354810.260781,50520103531.25321,5735879.899599453,0.0,15072732765.27117,108582519.711606,8763194708.951315,4972060298.886978
2018-01-23,183260375707.76193,96359326865.87158,1629643991.47622,52001100960.91774,5669404.169981707,0.0,14644928136.54389,110080680.83523569,8724540256.7059,4837299396.269397
2018-01-24,189730563330.71286,102717867498.02875,1625954744.39978,51642763889.91599,5486412.385664286,0.0,16201246474.65611,101614515.74379374,10192093564.37731,5063051444.647775
2018-01-25,188880475665.0269,102976145173.28937,1616581144.262141,50734718382.42615,5354861.583908894,0.0,16583948028.889128,101179434.49459964,10916063613.500116,4961896384.043593
2018-01-26,185867144988.1318,101975238868.2182,1605304669.316654,47004526321.15496,5195811.6286706,0.0,16090366555.84459,99262361.22632042,11244972613.539124,5080121976.463362
2018-01-27,192805209257.31415,106559849459.01985,1610901645.473411,47695245237.47509,5010066.054780242,0.0,16216442032.255064,102464240.61286058,11121407077.69938,5116618706.820763
2018-01-28,196359635508.99493,120356395893.4201,2252858690.033376,54880194054.63126,4874818.721855924,0.0,16348997933.466618,101052321.94285494,11000954495.423237,5166102769.8251705
2018-01-29,187828526722.43542,113796120454.081,2269639107.04296,51122884593.39237,4827334.908169065,0.0,15361030088.121367,99287196.09997627,10248759044.778986,4946065044.473488
2018-01-30,186776632503.01822,113043826616.74722,2266183243.262952,50837764502.30341,4816707.909418276,0.0,15243800575.340412,93294082.00219083,10203668628.663773,4923456140.783199
2018-01-31,168188285150.7701,102965815556.0668,2224566037.382556,44064612773.22817,4324416.949285259,0.0,13008040886.538809,96953352.82761253,8546801962.328461,4286163433.867402
2018-02-01,170304196700.15707,107663538775.87933,2201862496.650726,44316417201.49967,4171226.2991002905,0.0,12949584182.16657,105613659.25748107,9722922401.493351,4234399712.1014166
2018-02-02,152744180864.1639,99423764457.44884,2169643006.341678,37378474579.108246,4266741.231304909,0.0,10679880232.857233,104209761.0585092,8277760782.212564,3781917850.0909343
2018-02-03,148715185541.37634,89061856063.48083,2193721155.581718,34982138450.17991,4413742.897500913,0.0,10368309335.206608,102615999.01554418,7583159730.05567,3691392563.459471
