datetime,bitcoin_marketcap,ethereum_marketcap,tether_marketcap,ripple_marketcap,solana_marketcap,terra-luna_marketcap,cardano_marketcap,avalanche_marketcap,stellar_marketcap,monero_marketcap
2018-01-01 00:00:00+00:00,229119155396.0,74724233457.0,1378049530.0,92626457503.0,,,18891941437.0,,8572450039.0,5581120934.0
2018-01-02 00:00:00+00:00,251377913955.0,85552984076.0,1374793476.0,96107944450.0,,,20290188351.0,,10096395937.0,5964399705.0
2018-01-03 00:00:00+00:00,255080562912.0,93146829616.0,1386476963.0,120299378233.0,,,27992420977.0,,16022043128.0,6411585177.0
2018-01-04 00:00:00+00:00,261795321110.0,94924308782.0,1471804103.0,123834712592.0,,,28885867827.0,,12944011351.0,6272888690.0
2018-01-05 00:00:00+00:00,292544135537.0,96574936367.0,1466084425.0,118104418286.0,,,25915636699.0,,11847825839.0,5992584072.0
2018-01-06 00:00:00+00:00,294217423675.0,100852102738.0,1481287964.0,119857751982.0,,,26630990503.0,,12692260619.0,7050367554.0
2018-01-07 00:00:00+00:00,276634797271.0,111670667774.0,1470394737.0,130853470855.0,,,26147969178.0,,12508154526.0,7154336651.0
2018-01-08 00:00:00+00:00,254715263101.0,111244629093.0,1481772433.0,95151474964.0,,,23308488267.0,,11252258284.0,6310711418.0
2018-01-09 00:00:00+00:00,245095808695.0,125917925182.0,1476883694.0,81421159856.0,,,21123899231.0,,10471549539.0,6441143443.0
2018-01-10 00:00:00+00:00,251472635522.0,121689425203.0,1469968991.0,76506707920.0,,,20563304112.0,,10142317835.0,6355609799.0
2018-01-11 00:00:00+00:00,225178724049.0,111937424560.0,1470600270.0,75572319795.0,,,17848506483.0,,9984865520.0,5544166297.0
2018-01-12 00:00:00+00:00,234865160377.0,123426938666.0,1477015822.0,79152978765.0,,,23269753224.0,,12128805962.0,6156715899.0
2018-01-13 00:00:00+00:00,241268592240.0,135400735921.0,1471055377.0,78305366321.0,,,22922745312.0,,12014552652.0,6552526597.0
2018-01-14 00:00:00+00:00,231413491364.0,132554906162.0,1491755444.0,72100905208.0,,,20800303463.0,,11286324603.0,6233759351.0
2018-01-15 00:00:00+00:00,232242775485.0,125319766536.0,1477808591.0,64955082925.0,,,20186480068.0,,10721304062.0,6470253893.0
2018-01-16 00:00:00+00:00,193121120762.0,102231295311.0,1673348624.0,45682746768.0,,,16243128202.0,,7893354977.0,4996098563.0
2018-01-17 00:00:00+00:00,188070430523.0,98429091487.0,1641601682.0,50606491819.0,,,16310771929.0,,8537268440.0,4983953588.0
2018-01-18 00:00:00+00:00,192907550323.0,100588318055.0,1655484901.0,61850140629.0,,,17107796005.0,,9115817065.0,4942797699.0
2018-01-19 00:00:00+00:00,195158837708.0,100883462786.0,1625436955.0,60125086599.0,,,16865507530.0,,9056966615.0,5696373156.0
2018-01-20 00:00:00+00:00,216907619830.0,112174461241.0,1619886903.0,61154385624.0,,,18343661676.0,,9566699844.0,5997110229.0
2018-01-21 00:00:00+00:00,195089460991.0,101943726022.0,1617865908.0,53461566644.0,,,15897520352.0,,8304227685.0,5393668388.0
2018-01-22 00:00:00+00:00,183866421285.0,97465684890.0,1626246000.0,52582575494.0,,,14790304804.0,,8689734178.0,4938742502.0
2018-01-23 00:00:00+00:00,182830257190.0,95831359552.0,1626262181.0,51796945678.0,,,14598755607.0,,8687107627.0,4823688869.0
2018-01-24 00:00:00+00:00,188515444410.0,102902843882.0,1614019706.0,52574827665.0,,,16132030705.0,,10131381392.0,4964731063.0
2018-01-25 00:00:00+00:00,189455303272.0,102657059604.0,1617435496.0,50834665370.0,,,16528377832.0,,10868259393.0,4961214334.0
2018-01-26 00:00:00+00:00,187995804676.0,102595008990.0,1624789719.0,47155996369.0,,,16162469086.0,,11326835705.0,5065526287.0
2018-01-27 00:00:00+00:00,192550550498.0,107663911307.0,1607290066.0,47227276392.0,,,15992672701.0,,10954210844.0,5030191634.0
2018-01-28 00:00:00+00:00,198389948175.0,121201618306.0,2252553425.0,54219304278.0,,,17378552402.0,,11335884853.0,5200806764.0
2018-01-29 00:00:00+00:00,190164444830.0,115034583683.0,2267427080.0,51289462907.0,,,16157854067.0,,10529458895.0,4958753461.0
2018-01-30 00:00:00+00:00,170151556678.0,104234481554.0,2216772952.0,44106838438.0,,,13790945871.0,,8749366068.0,4292493409.0
2018-01-31 00:00:00+00:00,172099559942.0,108848638400.0,2195576901.0,45029992212.0,,,13464316636.0,,9948367356.0,4275893115.0
2018-02-01 00:00:00+00:00,154428564693.0,100935354836.0,2188182737.0,37547540520.0,,,10932719687.0,,8413026633.0,3776625415.0
2018-02-02 00:00:00+00:00,148725283812.0,89173962073.0,2196625609.0,34514730026.0,,,10125402565.0,,7466031201.0,3693862145.0
2018-02-03 00:00:00+00:00,154540000411.0,93890299032.0,2220045267.0,36046192830.0,,,11377731926.0,,7926463694.0,3945064209.0
2018-02-04 00:00:00+00:00,139433682759.0,81310521832.0,2239600449.0,31819934386.0,,,9834215636.0,,6954714441.0,3466922835.0
2018-02-05 00:00:00+00:00,117184385122.0,68005284182.0,2208955129.0,26986536507.0,,,8487771009.0,,6105929898.0,2815778234.0
2018-02-06 00:00:00+00:00,130658094648.0,77294507867.0,2239511764.0,30286482112.0,,,9586612112.0,,6834802124.0,3331203703.0
2018-02-07 00:00:00+00:00,128435001185.0,73796288508.0,2220244810.0,28238576299.0,,,8826793383.0,,6306098921.0,3253377961.0
2018-02-08 00:00:00+00:00,139306699929.0,79733609806.0,2259066946.0,31412678173.0,,,9245178520.0,,6701291919.0,3881373319.0
2018-02-09 00:00:00+00:00,147266052809.0,86191922699.0,2221818980.0,37231487853.0,,,10153092676.0,,7392564402.0,4089669824.0
2018-02-10 00:00:00+00:00,145341842785.0,83922989197.0,2225344234.0,41768727766.0,,,10523071973.0,,7499259276.0,3927215223.0
2018-02-11 00:00:00+00:00,137064586974.0,79476512346.0,2215480175.0,39171494175.0,,,9587026945.0,,6820022863.0,3605423483.0
2018-02-12 00:00:00+00:00,150513128412.0,84767037716.0,2217340356.0,42169352413.0,,,9964162113.0,,7292707725.0,3890461412.0
2018-02-13 00:00:00+00:00,144995984202.0,82496189205.0,2219579668.0,40078458444.0,,,9678938410.0,,7568663140.0,3688995408.0
2018-02-14 00:00:00+00:00,160131558834.0,90157005929.0,2218848011.0,44533700984.0,,,10290661713.0,,8368583821.0,4349750884.0
2018-02-15 00:00:00+00:00,171477807436.0,91485862822.0,2229135545.0,44738109275.0,,,10613713011.0,,8362459333.0,4768835650.0
