datetime,bitcoin_prices,ethereum_prices,tether_prices,ripple_prices,solana_prices,terra-luna_prices,cardano_prices,avalanche_prices,stellar_prices,monero_prices
2018-01-01 00:00:00+00:00,13657.2,772.641,1.00728,2.3910299999999998,,,0.728657,,0.480008,358.99
2018-01-02 00:00:00+00:00,14982.1,884.444,1.0049,2.4809,,,0.782587,,0.564766,383.417
2018-01-03 00:00:00+00:00,15201.0,962.72,1.01344,3.10537,,,1.07966,,0.896227,412.063
2018-01-04 00:00:00+00:00,15599.2,980.922,1.00253,3.19663,,,1.11412,,0.72405,403.048
2018-01-05 00:00:00+00:00,17429.5,997.72,0.998634,3.04871,,,0.999559,,0.662712,384.936
2018-01-06 00:00:00+00:00,17527.0,1041.68,1.00899,3.09397,,,1.02715,,0.709945,452.771
2018-01-07 00:00:00+00:00,16477.6,1153.17,1.00157,3.37781,,,1.00852,,0.699645,459.331
2018-01-08 00:00:00+00:00,15170.1,1148.53,1.00932,2.45621,,,0.899002,,0.629323,405.074
2018-01-09 00:00:00+00:00,14595.4,1299.74,1.00599,2.10178,,,0.814743,,0.585653,413.334
2018-01-10 00:00:00+00:00,14973.3,1255.82,1.00128,1.97492,,,0.793121,,0.56693,407.741
2018-01-11 00:00:00+00:00,13405.8,1154.93,1.00171,1.9508,,,0.688412,,0.558126,355.592
2018-01-12 00:00:00+00:00,13980.6,1273.2,1.00608,2.04323,,,0.897508,,0.67796,394.783
2018-01-13 00:00:00+00:00,14360.2,1396.42,1.00202,2.02135,,,0.884124,,0.671564,420.054
2018-01-14 00:00:00+00:00,13772.0,1366.77,1.01612,1.8611900000000001,,,0.802262,,0.630856,399.519
2018-01-15 00:00:00+00:00,13819.8,1291.92,1.00662,1.67673,,,0.778587,,0.599271,414.57
2018-01-16 00:00:00+00:00,11490.5,1053.69,1.03415,1.17924,,,0.626493,,0.441197,320.037
2018-01-17 00:00:00+00:00,11188.6,1014.25,1.01453,1.30634,,,0.629102,,0.477187,319.186
2018-01-18 00:00:00+00:00,11474.9,1036.28,1.02311,1.5965799999999999,,,0.659843,,0.509523,316.468
