datetime,bitcoin_volumes,ethereum_volumes,tether_volumes,ripple_volumes,solana_volumes,terra-luna_volumes,cardano_volumes,avalanche_volumes,stellar_volumes,monero_volumes
2018-01-01 00:00:00+00:00,10291200000.0,2595760000.0,1685300000.0,1894230000.0,,,150186000.0,,669372000.0,110244000.0
2018-01-02 00:00:00+00:00,16846600000.0,5783350000.0,2635860000.0,3171010000.0,,,289712000.0,,676667000.0,224769000.0
2018-01-03 00:00:00+00:00,16871900000.0,5093160000.0,2471690000.0,6635880000.0,,,657398000.0,,1513270000.0,180190000.0
2018-01-04 00:00:00+00:00,21783200000.0,6502860000.0,3200130000.0,8103660000.0,,,593430000.0,,892268000.0,166108000.0
2018-01-05 00:00:00+00:00,23840900000.0,6683150000.0,3096620000.0,6288500000.0,,,508100000.0,,727409000.0,182618000.0
2018-01-06 00:00:00+00:00,18314600000.0,4662220000.0,2620080000.0,2777560000.0,,,297615000.0,,440182000.0,235391000.0
2018-01-07 00:00:00+00:00,15866000000.0,5569880000.0,2338180000.0,2395150000.0,,,226067000.0,,347557000.0,262443000.0
2018-01-08 00:00:00+00:00,18413900000.0,8450970000.0,3815750000.0,3315260000.0,,,264461000.0,,249426000.0,220924000.0
2018-01-09 00:00:00+00:00,16660000000.0,7965460000.0,2766180000.0,3694700000.0,,,209492000.0,,208330000.0,522438000.0
2018-01-10 00:00:00+00:00,18500800000.0,9214950000.0,3189860000.0,4833640000.0,,,236472000.0,,249019000.0,265152000.0
2018-01-11 00:00:00+00:00,16534100000.0,7235900000.0,3841110000.0,6296120000.0,,,229001000.0,,330878000.0,187722000.0
2018-01-12 00:00:00+00:00,12065700000.0,5222300000.0,2668220000.0,3330810000.0,,,365795000.0,,394376000.0,158189000.0
2018-01-13 00:00:00+00:00,12763600000.0,5746760000.0,2759880000.0,2130170000.0,,,313215000.0,,189183000.0,248705000.0
2018-01-14 00:00:00+00:00,11084100000.0,4841630000.0,2960410000.0,1978200000.0,,,160712000.0,,116460000.0,180678000.0
2018-01-15 00:00:00+00:00,12750800000.0,4781100000.0,2557180000.0,1838460000.0,,,972993000.0,,345562000.0,264782000.0
2018-01-16 00:00:00+00:00,18853800000.0,8405140000.0,5552930000.0,5687960000.0,,,1632650000.0,,466139000.0,283036000.0
2018-01-17 00:00:00+00:00,18830600000.0,8545160000.0,5588840000.0,7251210000.0,,,1713770000.0,,486789000.0,192937000.0
2018-01-18 00:00:00+00:00,15020400000.0,5938320000.0,4302300000.0,9110440000.0,,,1285490000.0,,472047000.0,152851000.0
2018-01-19 00:00:00+00:00,10740400000.0,4084450000.0,2876990000.0,3697430000.0,,,584574000.0,,207275000.0,199852000.0
2018-01-20 00:00:00+00:00,11801700000.0,3975190000.0,2942780000.0,2346450000.0,,,738799000.0,,204013000.0,240595000.0
2018-01-21 00:00:00+00:00,9935180000.0,3378090000.0,3302010000.0,2840750000.0,,,847731000.0,,161687000.0,126395000.0
2018-01-22 00:00:00+00:00,10537400000.0,3810100000.0,3274900000.0,2642510000.0,,,522984000.0,,442542000.0,116893000.0
2018-01-23 00:00:00+00:00,9660610000.0,3556700000.0,3126830000.0,2977080000.0,,,375958000.0,,207031000.0,116898000.0
2018-01-24 00:00:00+00:00,9444170000.0,3944040000.0,2620630000.0,1853440000.0,,,689838000.0,,669319000.0,92263600.0
2018-01-25 00:00:00+00:00,8873170000.0,4050190000.0,2571930000.0,986068000.0,,,654814000.0,,627336000.0,76537300.0
2018-01-26 00:00:00+00:00,9746200000.0,3617690000.0,2957010000.0,2037570000.0,,,810062000.0,,787644000.0,91052800.0
2018-01-27 00:00:00+00:00,7583270000.0,3002870000.0,2051980000.0,689101000.0,,,331309000.0,,216913000.0,66614100.0
2018-01-28 00:00:00+00:00,8350360000.0,5372330000.0,2546640000.0,1327360000.0,,,325146000.0,,194610000.0,75700900.0
2018-01-29 00:00:00+00:00,7107360000.0,3715080000.0,2031160000.0,1073680000.0,,,238318000.0,,118507000.0,55323000.0
2018-01-30 00:00:00+00:00,8637860000.0,4107860000.0,3108630000.0,1134640000.0,,,359622000.0,,178893000.0,93182600.0
2018-01-31 00:00:00+00:00,8041160000.0,3757560000.0,2663930000.0,1264030000.0,,,505904000.0,,288693000.0,67649500.0
2018-02-01 00:00:00+00:00,9959400000.0,5261680000.0,3498900000.0,1410420000.0,,,595624000.0,,172407000.0,73082700.0
2018-02-02 00:00:00+00:00,12726900000.0,6713290000.0,4785870000.0,3529760000.0,,,1438810000.0,,396784000.0,122696000.0
2018-02-03 00:00:00+00:00,7263790000.0,3243480000.0,2488530000.0,1988960000.0,,,1404500000.0,,282349000.0,55887100.0
2018-02-04 00:00:00+00:00,7073550000.0,2997090000.0,2504640000.0,1190960000.0,,,814754000.0,,231808000.0,48981700.0
2018-02-05 00:00:00+00:00,9285290000.0,4269530000.0,4078980000.0,1286180000.0,,,658548000.0,,339507000.0,77454500.0
2018-02-06 00:00:00+00:00,13999800000.0,6518270000.0,6247250000.0,2361140000.0,,,1338390000.0,,518085000.0,100344000.0
2018-02-07 00:00:00+00:00,9169280000.0,3896180000.0,3307540000.0,1133370000.0,,,679744000.0,,188328000.0,64730900.0
2018-02-08 00:00:00+00:00,9346750000.0,3708190000.0,2466620000.0,947315000.0,,,346383000.0,,121448000.0,81312200.0
2018-02-09 00:00:00+00:00,6784820000.0,2495820000.0,1631140000.0,1690340000.0,,,401271000.0,,144231000.0,77557200.0
2018-02-10 00:00:00+00:00,7780960000.0,2930530000.0,2628380000.0,4682010000.0,,,951824000.0,,227551000.0,76435300.0
2018-02-11 00:00:00+00:00,6122190000.0,2486650000.0,2431740000.0,2555310000.0,,,331944000.0,,85791700.0,51680100.0
2018-02-12 00:00:00+00:00,6256440000.0,2243450000.0,2457490000.0,1756290000.0,,,243039000.0,,61140000.0,45760100.0
2018-02-13 00:00:00+00:00,5696720000.0,2081170000.0,2226760000.0,921100000.0,,,225695000.0,,196175000.0,46476400.0
2018-02-14 00:00:00+00:00,7909820000.0,2818370000.0,3066190000.0,1457600000.0,,,299009000.0,,192629000.0,116137000.0
2018-02-15 00:00:00+00:00,9062540000.0,2900100000.0,3286910000.0,1188530000.0,,,348342000.0,,106142000.0,85772700.0
2018-02-16 00:00:00+00:00,7296160000.0,2369450000.0,2605820000.0,568339000.0,,,192420000.0,,53289200.0,64320200.0
2018-02-17 00:00:00+00:00,8660880000.0,2525720000.0,2797600000.0,1186730000.0,,,341415000.0,,104733000.0,134269000.0
2018-02-18 00:00:00+00:00,8744010000.0,2567290000.0,3124180000.0,1113650000.0,,,251314000.0,,74452000.0,68135100.0
2018-02-19 00:00:00+00:00,7652090000.0,2169020000.0,2546440000.0,556304000.0,,,169966000.0,,57015400.0,67482400.0
2018-02-20 00:00:00+00:00,9926540000.0,2545260000.0,3126220000.0,806673000.0,,,281250000.0,,104842000.0,71114700.0
2018-02-21 00:00:00+00:00,9405340000.0,2531730000.0,3459830000.0,871526000.0,,,242378000.0,,132189000.0,169590000.0
2018-02-22 00:00:00+00:00,8040080000.0,2150370000.0,2904620000.0,889707000.0,,,208342000.0,,69561100.0,103123000.0
2018-02-23 00:00:00+00:00,7739500000.0,2334820000.0,2815280000.0,896404000.0,,,222509000.0,,56829000.0,89026300.0
2018-02-24 00:00:00+00:00,6917930000.0,1926580000.0,2417710000.0,489920000.0,,,133524000.0,,34738100.0,62206300.0
2018-02-25 00:00:00+00:00,5706940000.0,1646960000.0,1968850000.0,360271000.0,,,247808000.0,,42268800.0,33676300.0
2018-02-26 00:00:00+00:00,7287690000.0,2044480000.0,2362210000.0,458613000.0,,,201813000.0,,42535600.0,53939200.0
2018-02-27 00:00:00+00:00,6966180000.0,2053980000.0,2473020000.0,312713000.0,,,106757000.0,,38136100.0,64821400.0
2018-02-28 00:00:00+00:00,6936190000.0,1963980000.0,2414230000.0,329530000.0,,,114757000.0,,38961000.0,47981800.0
2018-03-01 00:00:00+00:00,7317280000.0,1868520000.0,2285570000.0,475257000.0,,,184691000.0,,46631800.0,62044300.0
2018-03-02 00:00:00+00:00,7620590000.0,1894420000.0,2172250000.0,271036000.0,,,107240000.0,,38378100.0,170634000.0
2018-03-03 00:00:00+00:00,6690570000.0,1699370000.0,2181490000.0,280853000.0,,,115320000.0,,52827100.0,196022000.0
2018-03-04 00:00:00+00:00,6084150000.0,1697940000.0,2133910000.0,797226000.0,,,94436000.0,,99892700.0,123113000.0
2018-03-05 00:00:00+00:00,6468540000.0,1898490000.0,2227680000.0,1706820000.0,,,202675000.0,,98523700.0,130898000.0
2018-03-06 00:00:00+00:00,6832170000.0,1943070000.0,2491850000.0,875180000.0,,,110305000.0,,44141000.0,93212700.0
2018-03-07 00:00:00+00:00,8797910000.0,2175420000.0,3037380000.0,809598000.0,,,190793000.0,,62389100.0,162103000.0
2018-03-08 00:00:00+00:00,7186090000.0,1891640000.0,2636690000.0,499496000.0,,,167809000.0,,47233100.0,128424000.0
2018-03-09 00:00:00+00:00,8704190000.0,2233020000.0,3131620000.0,989203000.0,,,246849000.0,,56838800.0,155072000.0
2018-03-10 00:00:00+00:00,5386320000.0,1532960000.0,2218810000.0,402670000.0,,,129138000.0,,21963200.0,78431700.0
2018-03-11 00:00:00+00:00,6296370000.0,1562680000.0,2394810000.0,472972000.0,,,161362000.0,,26023900.0,73755400.0
2018-03-12 00:00:00+00:00,6457400000.0,1765000000.0,2155560000.0,355031000.0,,,184250000.0,,29443200.0,66680300.0
2018-03-13 00:00:00+00:00,5991140000.0,1425960000.0,1890040000.0,279679000.0,,,98868700.0,,24814700.0,69264500.0
2018-03-14 00:00:00+00:00,6438230000.0,1810560000.0,2151670000.0,479149000.0,,,144156000.0,,49138300.0,75383300.0
2018-03-15 00:00:00+00:00,6834430000.0,1770460000.0,2259870000.0,888345000.0,,,204233000.0,,54358800.0,75798000.0
2018-03-16 00:00:00+00:00,5289380000.0,1417350000.0,1872050000.0,502740000.0,,,97455300.0,,23756700.0,62972500.0
2018-03-17 00:00:00+00:00,4426150000.0,1267810000.0,1687920000.0,319824000.0,,,81096600.0,,33001800.0,48877500.0
2018-03-18 00:00:00+00:00,6639190000.0,2685500000.0,2639470000.0,923606000.0,,,189689000.0,,91400500.0,75859900.0
2018-03-19 00:00:00+00:00,6729110000.0,2046790000.0,2638090000.0,1096930000.0,,,321964000.0,,93820800.0,67314400.0
2018-03-20 00:00:00+00:00,6361790000.0,1833680000.0,2506320000.0,814276000.0,,,249683000.0,,88101600.0,60005900.0
2018-03-21 00:00:00+00:00,6043130000.0,1781270000.0,2353890000.0,527324000.0,,,257686000.0,,93970500.0,57121400.0
2018-03-22 00:00:00+00:00,5530390000.0,1523460000.0,2171850000.0,449042000.0,,,201540000.0,,53777200.0,40394500.0
2018-03-23 00:00:00+00:00,5954120000.0,1596350000.0,1995700000.0,387164000.0,,,148850000.0,,49937100.0,39365700.0
2018-03-24 00:00:00+00:00,5664600000.0,1300010000.0,1785500000.0,390740000.0,,,132660000.0,,37806800.0,24099100.0
2018-03-25 00:00:00+00:00,4569880000.0,1151170000.0,1511320000.0,229352000.0,,,59349400.0,,31527600.0,23409900.0
2018-03-26 00:00:00+00:00,5921040000.0,1638880000.0,2183960000.0,384505000.0,,,117497000.0,,44406300.0,37329600.0
2018-03-27 00:00:00+00:00,5378250000.0,1617940000.0,2051080000.0,351381000.0,,,107510000.0,,37693300.0,53498800.0
2018-03-28 00:00:00+00:00,4935290000.0,1514180000.0,1857050000.0,258298000.0,,,60260800.0,,21717600.0,44833300.0
2018-03-29 00:00:00+00:00,6361230000.0,1970230000.0,2486610000.0,420550000.0,,,103465000.0,,44352600.0,53055600.0
2018-03-30 00:00:00+00:00,6289510000.0,1878130000.0,2596850000.0,518219000.0,,,119874000.0,,37767000.0,41887500.0
2018-03-31 00:00:00+00:00,4553270000.0,1323920000.0,1763720000.0,293208000.0,,,113124000.0,,82895900.0,22220300.0
2018-04-01 00:00:00+00:00,4532100000.0,1256930000.0,1832530000.0,297869000.0,,,100833000.0,,43075500.0,31024200.0
2018-04-02 00:00:00+00:00,4333440000.0,1102260000.0,1550880000.0,262342000.0,,,102697000.0,,70195700.0,27927800.0
2018-04-03 00:00:00+00:00,5499700000.0,1363400000.0,1753520000.0,578239000.0,,,155987000.0,,76510100.0,36809600.0
2018-04-04 00:00:00+00:00,4936000000.0,1287730000.0,1772330000.0,415258000.0,,,154801000.0,,58482100.0,39301200.0
2018-04-05 00:00:00+00:00,5639320000.0,1210680000.0,1609470000.0,358755000.0,,,113407000.0,,46694000.0,40641000.0
2018-04-06 00:00:00+00:00,3766810000.0,967106000.0,1257110000.0,218156000.0,,,51827500.0,,30056300.0,42452500.0
2018-04-07 00:00:00+00:00,3976610000.0,951475000.0,1332260000.0,209076000.0,,,48205400.0,,27242100.0,30577500.0
2018-04-08 00:00:00+00:00,3652500000.0,948488000.0,1090880000.0,137548000.0,,,51093100.0,,18973800.0,24114000.0
2018-04-09 00:00:00+00:00,4894060000.0,1478390000.0,1678770000.0,271775000.0,,,93021900.0,,36684300.0,24546500.0
2018-04-10 00:00:00+00:00,4272750000.0,1196000000.0,1253950000.0,154495000.0,,,55981300.0,,26841200.0,31208400.0
2018-04-11 00:00:00+00:00,4641890000.0,1439040000.0,1741700000.0,341707000.0,,,91793300.0,,40041100.0,41345600.0
2018-04-12 00:00:00+00:00,8906250000.0,2519360000.0,3636590000.0,1346740000.0,,,488007000.0,,103292000.0,62352400.0
2018-04-13 00:00:00+00:00,7764460000.0,2419250000.0,3218920000.0,1245170000.0,,,230413000.0,,112587000.0,56740700.0
2018-04-14 00:00:00+00:00,5191430000.0,1519080000.0,2060220000.0,626268000.0,,,113212000.0,,44754800.0,42979700.0
2018-04-15 00:00:00+00:00,5244480000.0,1726090000.0,2057860000.0,609637000.0,,,169798000.0,,129731000.0,50712700.0
2018-04-16 00:00:00+00:00,5631310000.0,1758980000.0,2125180000.0,531996000.0,,,678781000.0,,90408600.0,41090800.0
2018-04-17 00:00:00+00:00,6900880000.0,1760360000.0,2075650000.0,442353000.0,,,520975000.0,,112255000.0,39801200.0
2018-04-18 00:00:00+00:00,6529910000.0,1762940000.0,2112090000.0,624049000.0,,,181118000.0,,158385000.0,180249000.0
