datetime,bitcoin,ethereum,tether,ripple,solana,luna,cardano,avalanche,stellar,monero
2021-06-06 00:00:00+00:00,246.0,104.0,12.0,7.0,3.0,0.0,12.0,3.0,8.0,4.0
2021-06-07 00:00:00+00:00,917.0,302.0,39.0,14.0,14.0,1.0,36.0,3.0,4.0,24.0
2021-06-08 00:00:00+00:00,925.0,239.0,49.0,25.0,9.0,1.0,38.0,12.0,10.0,26.0
2021-06-09 00:00:00+00:00,1091.0,393.0,62.0,31.0,15.0,0.0,48.0,1.0,8.0,33.0
2021-06-10 00:00:00+00:00,1025.0,303.0,74.0,35.0,17.0,0.0,46.0,4.0,8.0,27.0
2021-06-11 00:00:00+00:00,1041.0,256.0,51.0,26.0,15.0,2.0,47.0,7.0,6.0,18.0
2021-06-12 00:00:00+00:00,860.0,183.0,59.0,15.0,13.0,0.0,28.0,1.0,6.0,16.0
2021-06-13 00:00:00+00:00,819.0,227.0,79.0,16.0,8.0,1.0,37.0,3.0,6.0,15.0
2021-06-14 00:00:00+00:00,878.0,178.0,57.0,21.0,14.0,1.0,34.0,1.0,4.0,13.0
2021-06-15 00:00:00+00:00,881.0,240.0,54.0,22.0,14.0,0.0,42.0,0.0,7.0,11.0
2021-06-16 00:00:00+00:00,924.0,532.0,55.0,22.0,8.0,0.0,37.0,2.0,6.0,29.0
2021-06-17 00:00:00+00:00,944.0,351.0,34.0,32.0,19.0,0.0,42.0,6.0,5.0,22.0
2021-06-18 00:00:00+00:00,900.0,253.0,45.0,25.0,13.0,0.0,55.0,5.0,5.0,19.0
2021-06-19 00:00:00+00:00,906.0,276.0,59.0,14.0,2.0,0.0,22.0,2.0,4.0,17.0
2021-06-20 00:00:00+00:00,803.0,298.0,30.0,25.0,9.0,0.0,26.0,1.0,2.0,29.0
2021-06-21 00:00:00+00:00,934.0,210.0,60.0,18.0,6.0,0.0,33.0,1.0,4.0,11.0
2021-06-22 00:00:00+00:00,1019.0,251.0,53.0,29.0,2.0,0.0,40.0,9.0,5.0,20.0
2021-06-23 00:00:00+00:00,962.0,225.0,49.0,20.0,6.0,0.0,37.0,2.0,2.0,16.0
2021-06-24 00:00:00+00:00,1050.0,231.0,50.0,22.0,6.0,2.0,40.0,4.0,6.0,24.0
2021-06-25 00:00:00+00:00,911.0,195.0,32.0,34.0,4.0,2.0,59.0,2.0,5.0,16.0
2021-06-26 00:00:00+00:00,919.0,169.0,30.0,30.0,8.0,0.0,63.0,0.0,8.0,9.0
2021-06-27 00:00:00+00:00,827.0,186.0,32.0,19.0,8.0,0.0,39.0,7.0,5.0,26.0
2021-06-28 00:00:00+00:00,863.0,253.0,44.0,25.0,16.0,0.0,34.0,2.0,3.0,15.0
2021-06-29 00:00:00+00:00,878.0,280.0,40.0,26.0,5.0,1.0,35.0,0.0,7.0,17.0
2021-06-30 00:00:00+00:00,882.0,191.0,43.0,32.0,9.0,1.0,35.0,3.0,7.0,17.0
2021-07-01 00:00:00+00:00,915.0,448.0,44.0,24.0,5.0,0.0,30.0,8.0,4.0,15.0
2021-07-02 00:00:00+00:00,868.0,277.0,41.0,22.0,4.0,0.0,29.0,0.0,4.0,12.0
2021-07-03 00:00:00+00:00,907.0,230.0,40.0,41.0,4.0,1.0,44.0,0.0,87.0,21.0
2021-07-04 00:00:00+00:00,808.0,290.0,65.0,15.0,7.0,3.0,29.0,0.0,65.0,29.0
2021-07-05 00:00:00+00:00,895.0,390.0,59.0,24.0,9.0,2.0,26.0,0.0,9.0,11.0
2021-07-06 00:00:00+00:00,895.0,280.0,51.0,19.0,9.0,0.0,30.0,7.0,4.0,19.0
2021-07-07 00:00:00+00:00,900.0,274.0,42.0,29.0,7.0,2.0,30.0,7.0,8.0,21.0
2021-07-08 00:00:00+00:00,921.0,241.0,54.0,24.0,16.0,1.0,55.0,1.0,2.0,13.0
2021-07-09 00:00:00+00:00,916.0,213.0,39.0,14.0,16.0,1.0,33.0,3.0,5.0,15.0
2021-07-10 00:00:00+00:00,852.0,204.0,34.0,11.0,7.0,1.0,23.0,7.0,2.0,20.0
2021-07-11 00:00:00+00:00,685.0,290.0,14.0,5.0,12.0,2.0,26.0,8.0,4.0,10.0
2021-07-12 00:00:00+00:00,884.0,267.0,52.0,14.0,16.0,4.0,46.0,6.0,1.0,11.0
2021-07-13 00:00:00+00:00,801.0,260.0,37.0,20.0,4.0,3.0,52.0,4.0,3.0,14.0
2021-07-14 00:00:00+00:00,846.0,276.0,32.0,30.0,8.0,3.0,37.0,2.0,4.0,28.0
2021-07-15 00:00:00+00:00,923.0,238.0,33.0,39.0,8.0,2.0,44.0,6.0,3.0,13.0
2021-07-16 00:00:00+00:00,813.0,213.0,38.0,30.0,7.0,4.0,40.0,5.0,3.0,9.0
2021-07-17 00:00:00+00:00,901.0,268.0,47.0,37.0,4.0,2.0,42.0,3.0,2.0,14.0
2021-07-18 00:00:00+00:00,808.0,240.0,24.0,19.0,6.0,2.0,39.0,2.0,7.0,16.0
2021-07-19 00:00:00+00:00,858.0,234.0,40.0,12.0,8.0,2.0,28.0,4.0,3.0,14.0
2021-07-20 00:00:00+00:00,872.0,250.0,54.0,23.0,9.0,3.0,54.0,2.0,4.0,9.0
2021-07-21 00:00:00+00:00,975.0,271.0,49.0,31.0,16.0,1.0,44.0,7.0,5.0,11.0
2021-07-22 00:00:00+00:00,1060.0,503.0,79.0,42.0,10.0,3.0,35.0,2.0,4.0,15.0
2021-07-23 00:00:00+00:00,996.0,450.0,41.0,21.0,13.0,3.0,44.0,3.0,4.0,21.0
2021-07-24 00:00:00+00:00,843.0,363.0,50.0,21.0,8.0,3.0,23.0,1.0,3.0,11.0
2021-07-25 00:00:00+00:00,791.0,389.0,28.0,25.0,10.0,1.0,45.0,3.0,6.0,11.0
2021-07-26 00:00:00+00:00,1093.0,473.0,65.0,30.0,4.0,2.0,53.0,0.0,6.0,9.0
2021-07-27 00:00:00+00:00,969.0,330.0,54.0,31.0,7.0,1.0,41.0,2.0,6.0,27.0
2021-07-28 00:00:00+00:00,1122.0,319.0,52.0,14.0,5.0,3.0,23.0,5.0,2.0,10.0
2021-07-29 00:00:00+00:00,1033.0,330.0,46.0,23.0,8.0,0.0,40.0,3.0,4.0,19.0
2021-07-30 00:00:00+00:00,987.0,330.0,57.0,20.0,12.0,1.0,33.0,1.0,5.0,13.0
2021-07-31 00:00:00+00:00,894.0,272.0,57.0,20.0,13.0,0.0,32.0,4.0,2.0,21.0
2021-08-01 00:00:00+00:00,884.0,325.0,43.0,32.0,15.0,1.0,59.0,3.0,6.0,13.0
2021-08-02 00:00:00+00:00,996.0,393.0,35.0,21.0,13.0,1.0,46.0,2.0,7.0,19.0
2021-08-03 00:00:00+00:00,966.0,361.0,26.0,40.0,6.0,1.0,56.0,0.0,9.0,22.0
2021-08-04 00:00:00+00:00,1068.0,474.0,30.0,25.0,5.0,2.0,46.0,1.0,5.0,12.0
2021-08-05 00:00:00+00:00,1077.0,500.0,32.0,20.0,8.0,1.0,54.0,1.0,3.0,15.0
2021-08-06 00:00:00+00:00,1087.0,450.0,33.0,29.0,8.0,2.0,51.0,1.0,1.0,24.0
2021-08-07 00:00:00+00:00,1048.0,440.0,57.0,17.0,4.0,0.0,40.0,8.0,0.0,12.0
2021-08-08 00:00:00+00:00,892.0,348.0,41.0,12.0,8.0,0.0,24.0,4.0,5.0,11.0
