datetime,bitcoin,ethereum,tether,ripple,solana,luna,cardano,avalanche,stellar,monero
2021-06-06 00:00:00+00:00,497.0,177.0,53.0,29.0,91.0,52.0,29.0,0.0,4.0,4.0
2021-06-07 00:00:00+00:00,2240.0,699.0,274.0,128.0,286.0,106.0,135.0,12.0,17.0,6.0
2021-06-08 00:00:00+00:00,3392.0,689.0,462.0,113.0,286.0,182.0,161.0,7.0,29.0,8.0
2021-06-09 00:00:00+00:00,2810.0,689.0,294.0,129.0,328.0,120.0,75.0,12.0,20.0,6.0
2021-06-10 00:00:00+00:00,2662.0,609.0,391.0,96.0,233.0,132.0,106.0,4.0,33.0,13.0
2021-06-11 00:00:00+00:00,2508.0,533.0,303.0,120.0,216.0,141.0,79.0,13.0,25.0,8.0
2021-06-12 00:00:00+00:00,2580.0,504.0,229.0,97.0,221.0,133.0,122.0,14.0,24.0,16.0
2021-06-13 00:00:00+00:00,2394.0,544.0,207.0,84.0,172.0,124.0,99.0,15.0,28.0,12.0
2021-06-14 00:00:00+00:00,2710.0,632.0,358.0,116.0,217.0,108.0,185.0,6.0,40.0,4.0
2021-06-15 00:00:00+00:00,2203.0,757.0,510.0,123.0,245.0,195.0,113.0,3.0,22.0,31.0
2021-06-16 00:00:00+00:00,2399.0,593.0,369.0,117.0,222.0,109.0,81.0,1.0,25.0,10.0
2021-06-17 00:00:00+00:00,1723.0,737.0,311.0,60.0,257.0,184.0,108.0,12.0,17.0,9.0
2021-06-18 00:00:00+00:00,2316.0,729.0,286.0,69.0,180.0,96.0,128.0,16.0,25.0,14.0
2021-06-19 00:00:00+00:00,1749.0,525.0,206.0,80.0,127.0,114.0,62.0,12.0,17.0,12.0
2021-06-20 00:00:00+00:00,2280.0,523.0,278.0,60.0,138.0,83.0,89.0,16.0,28.0,7.0
2021-06-21 00:00:00+00:00,2885.0,672.0,352.0,57.0,269.0,120.0,123.0,4.0,22.0,19.0
2021-06-22 00:00:00+00:00,3332.0,782.0,467.0,96.0,238.0,108.0,105.0,5.0,11.0,11.0
2021-06-23 00:00:00+00:00,2228.0,685.0,292.0,60.0,241.0,133.0,90.0,6.0,13.0,10.0
2021-06-24 00:00:00+00:00,1844.0,526.0,209.0,73.0,235.0,158.0,100.0,11.0,20.0,11.0
2021-06-25 00:00:00+00:00,1960.0,539.0,265.0,57.0,235.0,80.0,110.0,9.0,11.0,3.0
2021-06-26 00:00:00+00:00,1840.0,536.0,216.0,53.0,209.0,78.0,85.0,6.0,7.0,4.0
2021-06-27 00:00:00+00:00,1680.0,477.0,180.0,91.0,139.0,84.0,96.0,4.0,21.0,5.0
2021-06-28 00:00:00+00:00,1727.0,469.0,189.0,54.0,142.0,99.0,81.0,18.0,13.0,6.0
2021-06-29 00:00:00+00:00,1740.0,515.0,178.0,85.0,166.0,107.0,75.0,19.0,18.0,12.0
2021-06-30 00:00:00+00:00,1943.0,462.0,152.0,55.0,129.0,135.0,138.0,30.0,14.0,6.0
2021-07-01 00:00:00+00:00,1866.0,835.0,226.0,47.0,178.0,90.0,125.0,40.0,8.0,7.0
2021-07-02 00:00:00+00:00,1860.0,457.0,290.0,58.0,164.0,129.0,135.0,7.0,19.0,4.0
2021-07-03 00:00:00+00:00,1683.0,400.0,235.0,64.0,111.0,154.0,100.0,25.0,15.0,7.0
2021-07-04 00:00:00+00:00,1625.0,410.0,1109.0,68.0,144.0,91.0,104.0,21.0,18.0,13.0
2021-07-05 00:00:00+00:00,1563.0,421.0,1568.0,52.0,126.0,124.0,103.0,14.0,20.0,39.0
2021-07-06 00:00:00+00:00,1657.0,457.0,1256.0,77.0,128.0,150.0,82.0,22.0,8.0,20.0
2021-07-07 00:00:00+00:00,1647.0,579.0,1117.0,43.0,150.0,223.0,70.0,9.0,15.0,6.0
2021-07-08 00:00:00+00:00,1613.0,436.0,1248.0,37.0,133.0,173.0,77.0,14.0,3.0,16.0
2021-07-09 00:00:00+00:00,1535.0,574.0,1038.0,33.0,93.0,186.0,76.0,13.0,16.0,30.0
2021-07-10 00:00:00+00:00,1489.0,339.0,1103.0,33.0,107.0,153.0,79.0,31.0,21.0,0.0
2021-07-11 00:00:00+00:00,1408.0,457.0,1125.0,131.0,92.0,190.0,47.0,8.0,21.0,4.0
2021-07-12 00:00:00+00:00,1471.0,487.0,1474.0,48.0,146.0,135.0,50.0,9.0,12.0,22.0
2021-07-13 00:00:00+00:00,1760.0,534.0,840.0,61.0,112.0,122.0,48.0,18.0,18.0,5.0
2021-07-14 00:00:00+00:00,1742.0,500.0,243.0,69.0,94.0,100.0,53.0,3.0,12.0,21.0
