datetime,bitcoin,ethereum,tether,ripple,solana,luna,cardano,avalanche,stellar,monero
2021-07-27 00:00:00+00:00,142.0,51.0,5.0,14.0,0.0,1.0,11.0,0.0,4.0,4.0
2021-07-28 00:00:00+00:00,16712.0,6317.0,1244.0,1717.0,370.0,263.0,1745.0,82.0,500.0,663.0
2021-07-29 00:00:00+00:00,13438.0,6355.0,956.0,793.0,453.0,303.0,1922.0,93.0,324.0,508.0
2021-07-30 00:00:00+00:00,13173.0,7437.0,844.0,932.0,445.0,155.0,2075.0,73.0,404.0,393.0
2021-07-31 00:00:00+00:00,13049.0,7140.0,589.0,615.0,474.0,145.0,1938.0,58.0,360.0,370.0
2021-08-01 00:00:00+00:00,13804.0,10395.0,782.0,966.0,453.0,118.0,1992.0,79.0,469.0,341.0
2021-08-02 00:00:00+00:00,13059.0,8275.0,751.0,921.0,388.0,201.0,1613.0,93.0,539.0,652.0
2021-08-03 00:00:00+00:00,13372.0,7984.0,972.0,676.0,514.0,580.0,2306.0,87.0,359.0,665.0
2021-08-04 00:00:00+00:00,13454.0,9569.0,803.0,629.0,452.0,433.0,2130.0,85.0,475.0,444.0
2021-08-05 00:00:00+00:00,14305.0,16148.0,775.0,649.0,576.0,266.0,2051.0,89.0,539.0,421.0
2021-08-06 00:00:00+00:00,14366.0,11438.0,799.0,657.0,620.0,218.0,2571.0,77.0,410.0,506.0
2021-08-07 00:00:00+00:00,13433.0,11241.0,738.0,681.0,512.0,197.0,1948.0,113.0,575.0,492.0
2021-08-08 00:00:00+00:00,13948.0,9019.0,747.0,649.0,498.0,206.0,2250.0,70.0,593.0,555.0
2021-08-09 00:00:00+00:00,16270.0,8164.0,1246.0,622.0,473.0,189.0,1963.0,147.0,468.0,491.0
2021-08-10 00:00:00+00:00,15046.0,9022.0,1253.0,785.0,579.0,391.0,4002.0,87.0,591.0,469.0
2021-08-11 00:00:00+00:00,13869.0,9246.0,1212.0,1348.0,950.0,528.0,6169.0,101.0,781.0,601.0
2021-08-12 00:00:00+00:00,13976.0,9872.0,1242.0,1017.0,685.0,445.0,4698.0,113.0,758.0,477.0
2021-08-13 00:00:00+00:00,15717.0,10002.0,1506.0,1163.0,714.0,340.0,9342.0,150.0,551.0,676.0
2021-08-14 00:00:00+00:00,16848.0,10720.0,830.0,1460.0,615.0,334.0,6859.0,111.0,699.0,363.0
2021-08-15 00:00:00+00:00,13121.0,8447.0,867.0,1671.0,1477.0,433.0,4711.0,93.0,749.0,547.0
2021-08-16 00:00:00+00:00,14258.0,10243.0,1100.0,1232.0,4351.0,869.0,4826.0,164.0,785.0,669.0
2021-08-17 00:00:00+00:00,13255.0,9446.0,1183.0,939.0,3110.0,901.0,3868.0,213.0,848.0,614.0
2021-08-18 00:00:00+00:00,13727.0,8108.0,782.0,802.0,3106.0,1126.0,3834.0,345.0,635.0,651.0
2021-08-19 00:00:00+00:00,14336.0,9457.0,953.0,1256.0,1740.0,1206.0,6726.0,383.0,667.0,571.0
2021-08-20 00:00:00+00:00,16276.0,9084.0,1053.0,1002.0,1996.0,750.0,9221.0,360.0,796.0,531.0
2021-08-21 00:00:00+00:00,14625.0,11342.0,776.0,1040.0,1806.0,582.0,5131.0,705.0,766.0,557.0
2021-08-22 00:00:00+00:00,12412.0,8906.0,763.0,869.0,1222.0,454.0,7768.0,337.0,570.0,707.0
2021-08-23 00:00:00+00:00,16739.0,9513.0,1299.0,1023.0,1189.0,377.0,11241.0,502.0,681.0,887.0
2021-08-24 00:00:00+00:00,14549.0,8155.0,1232.0,1009.0,990.0,759.0,6452.0,560.0,682.0,692.0
2021-08-25 00:00:00+00:00,13473.0,8188.0,1297.0,1207.0,1047.0,379.0,5221.0,517.0,821.0,694.0
2021-08-26 00:00:00+00:00,12485.0,7844.0,921.0,771.0,1133.0,348.0,4113.0,347.0,491.0,485.0
