datetime,bitcoin,ethereum,tether,ripple,solana,luna,cardano,avalanche,stellar,monero
2021-07-27 00:00:00+00:00,44.0,15.0,3.0,7.0,0.0,0.0,2.0,0.0,1.0,1.0
2021-07-28 00:00:00+00:00,5553.0,1386.0,209.0,780.0,43.0,27.0,316.0,43.0,119.0,56.0
2021-07-29 00:00:00+00:00,4336.0,1168.0,241.0,248.0,106.0,53.0,657.0,44.0,40.0,41.0
2021-07-30 00:00:00+00:00,4051.0,1287.0,183.0,424.0,50.0,21.0,500.0,38.0,75.0,31.0
2021-07-31 00:00:00+00:00,3917.0,1406.0,104.0,296.0,40.0,14.0,365.0,15.0,91.0,13.0
2021-08-01 00:00:00+00:00,5551.0,3150.0,108.0,591.0,41.0,13.0,341.0,23.0,218.0,32.0
2021-08-02 00:00:00+00:00,4612.0,1317.0,139.0,565.0,77.0,29.0,322.0,67.0,166.0,76.0
2021-08-03 00:00:00+00:00,4616.0,1256.0,148.0,271.0,113.0,85.0,319.0,44.0,64.0,61.0
2021-08-04 00:00:00+00:00,4706.0,1350.0,177.0,203.0,60.0,45.0,528.0,42.0,55.0,35.0
2021-08-05 00:00:00+00:00,4742.0,2380.0,192.0,277.0,86.0,33.0,325.0,57.0,64.0,29.0
2021-08-06 00:00:00+00:00,5275.0,1915.0,226.0,360.0,182.0,33.0,332.0,39.0,93.0,62.0
2021-08-07 00:00:00+00:00,3815.0,1586.0,182.0,314.0,162.0,23.0,180.0,71.0,90.0,27.0
2021-08-08 00:00:00+00:00,3603.0,1123.0,118.0,185.0,89.0,19.0,202.0,32.0,27.0,16.0
2021-08-09 00:00:00+00:00,5005.0,1117.0,334.0,298.0,121.0,28.0,223.0,105.0,19.0,41.0
2021-08-10 00:00:00+00:00,4904.0,1797.0,222.0,304.0,122.0,107.0,324.0,30.0,84.0,44.0
2021-08-11 00:00:00+00:00,4020.0,1656.0,213.0,411.0,399.0,134.0,494.0,29.0,58.0,68.0
2021-08-12 00:00:00+00:00,4310.0,2205.0,237.0,412.0,228.0,145.0,290.0,73.0,126.0,47.0
2021-08-13 00:00:00+00:00,4708.0,2190.0,197.0,486.0,145.0,71.0,870.0,103.0,31.0,25.0
2021-08-14 00:00:00+00:00,6171.0,3754.0,112.0,406.0,109.0,53.0,795.0,57.0,33.0,19.0
2021-08-15 00:00:00+00:00,3743.0,1440.0,154.0,498.0,132.0,65.0,785.0,41.0,15.0,14.0
2021-08-16 00:00:00+00:00,4428.0,1812.0,278.0,321.0,332.0,137.0,536.0,67.0,14.0,39.0
2021-08-17 00:00:00+00:00,3980.0,1406.0,193.0,276.0,423.0,160.0,413.0,68.0,105.0,39.0
2021-08-18 00:00:00+00:00,3849.0,1271.0,163.0,278.0,244.0,231.0,418.0,76.0,21.0,25.0
2021-08-19 00:00:00+00:00,3905.0,1409.0,267.0,508.0,167.0,186.0,467.0,75.0,23.0,25.0
2021-08-20 00:00:00+00:00,5253.0,1626.0,293.0,378.0,204.0,86.0,820.0,128.0,62.0,27.0
2021-08-21 00:00:00+00:00,4029.0,3875.0,166.0,268.0,293.0,61.0,518.0,100.0,34.0,19.0
2021-08-22 00:00:00+00:00,3142.0,1873.0,123.0,193.0,169.0,38.0,562.0,63.0,30.0,22.0
2021-08-23 00:00:00+00:00,4600.0,2398.0,181.0,277.0,113.0,44.0,785.0,126.0,37.0,47.0
2021-08-24 00:00:00+00:00,4079.0,1761.0,198.0,369.0,147.0,78.0,722.0,142.0,12.0,26.0
2021-08-25 00:00:00+00:00,4713.0,1588.0,168.0,499.0,130.0,44.0,891.0,111.0,83.0,67.0
2021-08-26 00:00:00+00:00,3806.0,1782.0,231.0,313.0,131.0,29.0,693.0,115.0,30.0,21.0
2021-08-27 00:00:00+00:00,3918.0,1613.0,202.0,214.0,219.0,60.0,658.0,88.0,25.0,26.0
2021-08-28 00:00:00+00:00,3027.0,1470.0,174.0,182.0,440.0,64.0,731.0,125.0,10.0,25.0
2021-08-29 00:00:00+00:00,3000.0,1136.0,113.0,108.0,504.0,82.0,411.0,60.0,24.0,18.0
2021-08-30 00:00:00+00:00,5000.0,3907.0,377.0,159.0,1816.0,59.0,718.0,76.0,19.0,21.0
2021-08-31 00:00:00+00:00,3049.0,1588.0,348.0,162.0,2313.0,41.0,629.0,126.0,34.0,23.0
2021-09-01 00:00:00+00:00,4479.0,2065.0,366.0,258.0,1317.0,57.0,634.0,128.0,37.0,16.0
2021-09-02 00:00:00+00:00,4508.0,1888.0,370.0,316.0,411.0,31.0,868.0,174.0,31.0,26.0
2021-09-03 00:00:00+00:00,4169.0,2031.0,250.0,256.0,587.0,32.0,879.0,99.0,23.0,21.0
2021-09-04 00:00:00+00:00,3606.0,3231.0,171.0,223.0,436.0,37.0,948.0,117.0,21.0,21.0
2021-09-05 00:00:00+00:00,3533.0,1606.0,236.0,157.0,443.0,35.0,748.0,56.0,6.0,19.0
2021-09-06 00:00:00+00:00,3811.0,1344.0,194.0,3079.0,704.0,38.0,674.0,65.0,41.0,35.0
2021-09-07 00:00:00+00:00,5588.0,1559.0,138.0,482.0,1082.0,32.0,2657.0,121.0,56.0,18.0
2021-09-08 00:00:00+00:00,5152.0,2696.0,252.0,1820.0,961.0,56.0,511.0,84.0,71.0,47.0
2021-09-09 00:00:00+00:00,4676.0,2117.0,239.0,399.0,2309.0,43.0,1030.0,109.0,44.0,50.0
2021-09-10 00:00:00+00:00,3968.0,1310.0,170.0,707.0,1688.0,70.0,732.0,130.0,25.0,30.0
2021-09-11 00:00:00+00:00,3876.0,1529.0,231.0,299.0,1944.0,222.0,1084.0,184.0,22.0,25.0
2021-09-12 00:00:00+00:00,2717.0,1114.0,168.0,256.0,1026.0,81.0,1354.0,144.0,7.0,20.0
2021-09-13 00:00:00+00:00,3652.0,1044.0,184.0,336.0,582.0,44.0,692.0,171.0,13.0,30.0
2021-09-14 00:00:00+00:00,4549.0,1706.0,263.0,339.0,1661.0,49.0,787.0,138.0,12.0,34.0
2021-09-15 00:00:00+00:00,4350.0,2076.0,142.0,334.0,1222.0,112.0,792.0,156.0,17.0,18.0
2021-09-16 00:00:00+00:00,3487.0,1730.0,250.0,556.0,823.0,72.0,722.0,314.0,16.0,32.0
2021-09-17 00:00:00+00:00,3600.0,1644.0,222.0,582.0,645.0,67.0,608.0,217.0,18.0,27.0
2021-09-18 00:00:00+00:00,3948.0,1831.0,166.0,429.0,1000.0,95.0,681.0,196.0,14.0,16.0
2021-09-19 00:00:00+00:00,3564.0,1681.0,115.0,438.0,480.0,41.0,585.0,178.0,19.0,20.0
2021-09-20 00:00:00+00:00,4466.0,1521.0,252.0,399.0,394.0,43.0,375.0,159.0,10.0,20.0
2021-09-21 00:00:00+00:00,4970.0,2251.0,320.0,473.0,453.0,74.0,402.0,183.0,36.0,37.0
2021-09-22 00:00:00+00:00,4873.0,2816.0,202.0,570.0,525.0,71.0,1749.0,230.0,16.0,38.0
2021-09-23 00:00:00+00:00,4742.0,2079.0,179.0,630.0,727.0,74.0,480.0,231.0,13.0,38.0
2021-09-24 00:00:00+00:00,5534.0,1786.0,171.0,373.0,586.0,101.0,430.0,188.0,15.0,45.0
2021-09-25 00:00:00+00:00,4068.0,2245.0,137.0,281.0,443.0,45.0,477.0,156.0,12.0,30.0
2021-09-26 00:00:00+00:00,3756.0,1682.0,164.0,297.0,524.0,64.0,518.0,187.0,22.0,22.0
2021-09-27 00:00:00+00:00,4922.0,2145.0,183.0,409.0,620.0,109.0,893.0,172.0,30.0,29.0
2021-09-28 00:00:00+00:00,3856.0,1372.0,169.0,334.0,767.0,81.0,490.0,97.0,26.0,17.0
2021-09-29 00:00:00+00:00,4055.0,1915.0,185.0,650.0,595.0,44.0,458.0,140.0,8.0,23.0
2021-09-30 00:00:00+00:00,4219.0,1876.0,211.0,512.0,978.0,88.0,541.0,199.0,9.0,31.0
2021-10-01 00:00:00+00:00,4469.0,2520.0,215.0,590.0,1075.0,109.0,452.0,147.0,31.0,110.0
2021-10-02 00:00:00+00:00,3449.0,2114.0,215.0,212.0,1389.0,73.0,351.0,102.0,23.0,37.0
2021-10-03 00:00:00+00:00,3240.0,1637.0,282.0,201.0,978.0,278.0,225.0,102.0,11.0,15.0
2021-10-04 00:00:00+00:00,4775.0,1741.0,250.0,229.0,1068.0,155.0,323.0,163.0,23.0,18.0
2021-10-05 00:00:00+00:00,5786.0,3052.0,310.0,468.0,1065.0,112.0,400.0,173.0,18.0,20.0
2021-10-06 00:00:00+00:00,5502.0,2214.0,294.0,552.0,790.0,152.0,464.0,273.0,34.0,22.0
2021-10-07 00:00:00+00:00,4643.0,1813.0,457.0,299.0,662.0,92.0,592.0,196.0,60.0,17.0
2021-10-08 00:00:00+00:00,5047.0,1795.0,485.0,336.0,709.0,115.0,699.0,155.0,13.0,17.0
2021-10-09 00:00:00+00:00,4378.0,1747.0,338.0,257.0,598.0,75.0,498.0,121.0,22.0,18.0
2021-10-10 00:00:00+00:00,4153.0,1830.0,275.0,232.0,779.0,61.0,468.0,73.0,39.0,18.0
2021-10-11 00:00:00+00:00,7046.0,1966.0,274.0,390.0,714.0,181.0,363.0,158.0,37.0,21.0
2021-10-12 00:00:00+00:00,7294.0,3200.0,315.0,661.0,1184.0,95.0,412.0,150.0,51.0,62.0
2021-10-13 00:00:00+00:00,6133.0,2044.0,756.0,578.0,745.0,73.0,466.0,153.0,41.0,24.0
2021-10-14 00:00:00+00:00,5990.0,2438.0,335.0,592.0,899.0,106.0,400.0,203.0,25.0,23.0
2021-10-15 00:00:00+00:00,7896.0,2243.0,456.0,443.0,834.0,75.0,423.0,191.0,19.0,30.0
2021-10-16 00:00:00+00:00,5485.0,1640.0,426.0,340.0,668.0,38.0,351.0,105.0,28.0,21.0
2021-10-17 00:00:00+00:00,6603.0,1801.0,276.0,406.0,436.0,25.0,380.0,90.0,65.0,30.0
2021-10-18 00:00:00+00:00,5198.0,1575.0,242.0,359.0,494.0,42.0,589.0,91.0,16.0,19.0
2021-10-19 00:00:00+00:00,7923.0,1976.0,417.0,287.0,437.0,40.0,455.0,81.0,26.0,48.0
2021-10-20 00:00:00+00:00,10124.0,3473.0,615.0,700.0,556.0,73.0,1038.0,128.0,33.0,25.0
2021-10-21 00:00:00+00:00,6880.0,3106.0,401.0,410.0,396.0,41.0,815.0,125.0,17.0,22.0
2021-10-22 00:00:00+00:00,5130.0,2626.0,356.0,379.0,483.0,44.0,1027.0,146.0,8.0,16.0
2021-10-23 00:00:00+00:00,4593.0,2285.0,651.0,351.0,397.0,81.0,568.0,131.0,14.0,29.0
2021-10-24 00:00:00+00:00,5717.0,2465.0,329.0,354.0,1070.0,125.0,445.0,142.0,40.0,26.0
2021-10-25 00:00:00+00:00,6522.0,1706.0,501.0,296.0,607.0,86.0,528.0,947.0,24.0,20.0
2021-10-26 00:00:00+00:00,5372.0,2799.0,201.0,1096.0,1285.0,69.0,417.0,197.0,31.0,74.0
2021-10-27 00:00:00+00:00,7696.0,2470.0,279.0,469.0,587.0,54.0,379.0,394.0,30.0,50.0
2021-10-28 00:00:00+00:00,8428.0,2745.0,599.0,469.0,579.0,110.0,736.0,945.0,95.0,55.0
