date,prices,market_caps,total_volumes
2018-01-01,357.179637593928,5552975744.35028,92648925.6375476
2018-01-02,376.534960037397,5857333030.68151,187770146.03239
2018-01-03,395.262774498778,6150154381.8576565,137780042.61776698
2018-01-04,415.032997425882,6459402578.341488,166783955.96062383
2018-01-05,402.51063795503296,6266159223.343635,184858011.53306457
2018-01-06,407.58686038722004,6346762844.144361,160475791.86151972
2018-01-07,465.7044641482299,7253578949.931827,268606424.16683024
2018-01-08,420.88599242700275,6557019072.215625,157777873.24869552
2018-01-09,542.3254860710418,8451244067.086767,528433534.66900545
2018-01-10,455.1325353514595,7094299201.729724,264188346.89096716
2018-01-11,367.972403285296,5737171811.066069,124483743.87140909
2018-01-12,411.1707824874278,6412248647.628119,103617763.7822521
2018-01-13,480.450132895559,7494631947.662809,255698494.16439998
2018-01-14,416.5262978796929,6499113557.709274,140551210.9707039
2018-01-15,432.4156172420143,6748752050.195373,183953706.42835486
2018-01-16,325.29608548227543,5078194588.095118,220429681.81732833
2018-01-17,325.0722459289927,5075861388.681995,161818033.0559366
2018-01-18,330.94946895710524,5168966052.055568,144670057.6883104
2018-01-19,387.13478974720846,6048085259.896657,203291418.10321602
2018-01-20,419.30470975045114,6552062942.045324,230195640.97614577
2018-01-21,362.90144062908803,5672219919.912128,121088985.99798012
2018-01-22,318.0298748016881,4972060298.886978,95634330.91566226
2018-01-23,309.3324100362912,4837299396.269397,97938001.45282367
2018-01-24,323.68649824491683,5063051444.647775,48563954.634953626
2018-01-25,317.14746323029766,4961896384.043593,65253452.166659765
2018-01-26,324.6185345488618,5080121976.463362,87555403.44136347
2018-01-27,326.8994472464488,5116618706.820763,75024814.23622504
2018-01-28,329.95196374516837,5166102769.8251705,63865156.80416755
2018-01-29,315.81855629101125,4946065044.473488,50659854.25814156
2018-01-30,314.3769490001274,4923456140.783199,51377697.76614027
2018-01-31,273.61275031914323,4286163433.867402,86006721.5209635
2018-02-01,270.24170513831456,4234399712.1014166,57529021.376001425
2018-02-02,241.30406625905266,3781917850.0909343,67951423.72817802
2018-02-03,235.47398139050563,3691392563.459471,116027388.67829688
2018-02-04,246.86241108102664,3870905300.5135074,51301377.422630794
2018-02-05,223.62652173403222,3507347856.43004,46758592.64185643
2018-02-06,179.27708531560475,2812437063.8367734,73027099.39190271
2018-02-07,211.03977589318285,3311582137.1331964,99891731.40932168
2018-02-08,208.39995373777415,3270994824.279391,62323553.526961036
2018-02-09,246.49749335272426,3869929794.4599514,74089122.6297329
2018-02-10,256.40641622825046,4026418927.358182,66764683.18254948
2018-02-11,251.989788043557,3957969834.168552,71689670.63601764
2018-02-12,232.73692671292196,3656491221.2568827,47474615.03546054
2018-02-13,248.01845151200885,3897505301.724681,44938899.16895806
2018-02-14,233.7635100626377,3674423654.858584,44290520.49066248
2018-02-15,271.9489490718044,4275624345.2408624,102357987.96144237
2018-02-16,303.97568684638355,4780195501.436187,80991118.68500046
2018-02-17,292.9088266761564,4607181680.954171,63464526.884550855
2018-02-18,324.6411867470047,5107655432.487138,122955404.3350254
2018-02-19,301.6875931406402,4747625674.369383,65272476.2866229
2018-02-20,315.752749158009,4970126987.803084,64603234.954729654
2018-02-21,309.2776451944807,4869380441.560046,63830908.44742939
2018-02-22,283.3815064524025,4463740191.804802,98374718.19566223
2018-02-23,286.8002667949038,4517551610.435935,104581451.71512446
2018-02-24,286.96723845138854,4521300559.764076,84903672.64115024
2018-02-25,269.50289242959894,4247160492.9893403,48414102.57456661
2018-02-26,279.7170461915934,4409139519.863436,22844209.657680195
2018-02-27,295.70793049533677,4662222310.232072,41484420.15505235
2018-02-28,303.5079883780986,4786260578.632928,53954018.353165895
2018-03-01,284.56237360156905,4488622854.65709,42295477.62312502
2018-03-02,310.9334672870717,4905755578.52298,52132614.6305215
2018-03-03,344.8688071329691,5442330157.289266,167526059.40231302
2018-03-04,354.14877002899965,5590152276.756642,186665398.93503648
2018-03-05,364.4556126387441,5754233316.495309,116952823.18673134
2018-03-06,374.38311567542854,5912248803.168476,125294096.14127572
2018-03-07,345.60801033009915,5459099366.682517,89264820.27255069
2018-03-08,340.5332422980153,5380262793.952065,157244025.70398235
2018-03-09,278.82084604704113,4406236221.55361,118426952.89312278
2018-03-10,279.1770605807809,4412839009.067929,143526358.22564456
2018-03-11,257.3708238133131,4069068241.6621666,78863171.19036171
2018-03-12,280.9024905979321,4442107715.56852,72372201.17235543
2018-03-13,261.3050828872478,4133182173.7555614,68042712.268994
2018-03-14,251.24905531109465,3975046730.1936274,70506878.79170853
2018-03-15,215.4124268297321,3408816351.259486,76622519.27169335
2018-03-16,215.87117947960215,3416811835.128476,80353703.07321538
2018-03-17,220.49725632682538,3490857658.349474,65059099.82929494
2018-03-18,200.93405484870362,3181869122.8106127,51026770.77100181
2018-03-19,209.57806467171613,3319530648.65662,81083427.12839772
2018-03-20,217.044183081722,3438523989.781462,71322082.08408716
2018-03-21,224.0279147811789,3550014442.1086545,61823927.67118475
2018-03-22,219.76089885095402,3483200797.0689707,56930039.023314364
2018-03-23,213.4671027614916,3384194523.083327,41568969.576545775
2018-03-24,214.40648957694376,3399822478.979129,39963315.830434576
2018-03-25,208.34102112509325,3304398807.4441543,24524184.627217952
2018-03-26,212.27465534812399,3367541689.865756,24683018.774473008
2018-03-27,197.25324943637898,3129921655.775977,37428672.68949254
2018-03-28,189.05142182340646,3000451752.2844043,55017900.674273424
2018-03-29,198.8852734089553,3157237486.5711203,46599359.08288914
2018-03-30,177.15119049566215,2812835301.182984,54087342.289207876
2018-03-31,173.21387543719138,2750880227.0792146,43159779.94410202
2018-04-01,180.1851999126979,2862251990.984401,22046843.508599285
2018-04-02,175.88560568902207,2794613849.955819,30803233.604975503
2018-04-03,177.982206635055,2828495719.5951867,27751008.111402716
