date,bitcoin_total_volumes,ethereum_total_volumes,tether_total_volumes,ripple_total_volumes,solana_total_volumes,terra-luna_total_volumes,cardano_total_volumes,avalanche-2_total_volumes,stellar_total_volumes,monero_total_volumes
2018-01-01,2345478673.51547,1101627635.65143,1681610000.0,1697900000.0,92672667.43447028,6703686.104207669,150103426.408784,245857265.66415152,675537000.0,92648925.6375476
2018-01-02,4130217904.20997,2720973272.07018,2632020000.0,3206290000.0,49458692.875223994,10600884.577320728,290148321.463177,245857265.66415152,674340000.0,187770146.03239
2018-01-03,3310355625.1255913,2308657205.9772067,2461680000.0,6678660000.0,37821009.955602355,33710121.66526043,672172539.6566188,97342432.17482527,1498850000.0,137780042.61776698
2018-01-04,4217387187.5256386,2756635496.077742,3203460000.0,8104150000.0,19579214.89293177,885232.4999113342,587865819.6221813,69665168.04927005,808414475.3391253,166783955.96062383
2018-01-05,6275687595.940333,2894788528.9368753,3096040000.0,6173580000.0,17523533.049867075,942632.8888776248,507435198.65038526,41950754.98125503,703086468.5096346,184858011.53306457
2018-01-06,4240919830.5153003,1824841952.503006,2622980000.0,2833080000.0,12659541.408408837,1301589.2002250461,311308025.14994603,21176150.392053947,442654100.63577116,160475791.86151972
2018-01-07,3044989246.796485,2286423001.2638764,2345900000.0,2412330000.0,23132895.9095158,34820288.09153446,231753940.09091622,17356907.97055633,353278646.40747225,268606424.16683024
2018-01-08,5752981089.536744,4813539670.332469,3798580000.0,3307200000.0,10227034.752456626,94857128.31385276,271755252.7481392,14748322.291531274,243944710.56411275,157777873.24869552
2018-01-09,4214092201.8070655,4248463429.84743,2761970000.0,3717140000.0,10199318.163159857,32995695.058725353,214077772.7742139,12477984.35950614,212635163.34911913,528433534.66900545
2018-01-10,4969472882.941215,5901388488.269492,3152380000.0,4840510000.0,9789186.730548004,64089491.40589057,241226048.655068,12785136.09148073,240627840.02105153,264188346.89096716
2018-01-11,5833888113.053883,3701485302.9898286,3832640000.0,6211300000.0,8763891.031037511,7113818.721728071,240846066.20804676,17312305.607966352,295717085.5168857,124483743.87140909
2018-01-12,4021952802.5976954,2569674473.5809693,2683030000.0,3325760000.0,9610841.993019182,471148.785538611,400879519.0712368,20480180.81475524,397788686.91265124,103617763.7822521
2018-01-13,3134247725.132476,3149029707.9682436,2764200000.0,2165090000.0,18146790.14448149,880709.2289430579,324020183.0705352,8157800.073572848,186408035.53019324,255698494.16439998
2018-01-14,3336056550.553205,2771837301.4899707,2952650000.0,1990660000.0,13659849.485801896,2910317.195512153,164758594.71964398,8341041.062748824,111119565.720117,140551210.9707039
2018-01-15,3222958351.447812,2438212396.6501827,2554490000.0,1798380000.0,8959427.13964603,11457607.05018788,223039389.0742617,5274554.213608636,167023166.3200092,183953706.42835486
2018-01-16,9677283153.059654,5197858118.489889,5541320000.0,5720560000.0,7324961.274114759,17426081.16749751,182356185.24944827,8620566.607562283,226537125.3329641,220429681.81732833
2018-01-17,10225958520.621689,5505023202.5208645,5611060000.0,7145750000.0,8493459.048447348,48101782.819416165,197027150.9364225,10136144.152725175,253381687.8707559,161818033.0559366
2018-01-18,6558304864.2233305,3220457431.1306267,4270310000.0,9205920000.0,7534010.521157354,16003575.671402778,147757610.9196817,9112782.415372472,193083858.51629788,144670057.6883104
2018-01-19,4208563477.4581575,2067139497.7426836,2879550000.0,3689240000.0,7387289.032147021,2735388.281405201,106464152.84363754,8083299.110651138,83049828.69651216,203291418.10321602
2018-01-20,4520485016.427376,1927757662.931302,2935940000.0,2348780000.0,8964597.270530097,2279616.3631034154,109953899.26112777,8854861.444740139,82765774.28328785,230195640.97614577
2018-01-21,4319501969.014785,1834167990.4392762,3298380000.0,2835820000.0,5182978.537733341,1492132.3333496687,67487204.52579968,6653417.800167322,63686443.712105915,121088985.99798012
2018-01-22,5012581424.290013,2128266201.553245,3254440000.0,2445750000.0,4174109.6429038513,2730881.1274704416,68808151.80195066,9407445.188746862,136106466.06057468,95634330.91566226
